tier,sub_motif_shape,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match,total_bleed
CASCADE,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,47,12,-0.9,-5.38,-42.0,-64.0,1,-106.0
CASCADE,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,48,18,-1.77,-0.83,-85.0,-15.0,1,-100.0
KILL_SHOT,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,182,38,-0.34,-0.91,-61.0,-34.0,1,-95.0
KILL_SHOT,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,126,23,-0.62,-0.7,-78.0,-16.0,1,-94.0
FADE_AT_BAND,FLATLINE,STEEP_CONCAVE_DOWN,46,10,-1.0,-4.3,-46.0,-43.0,1,-89.0
KILL_SHOT,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,109,21,-0.6,-1.07,-66.0,-22.0,1,-88.0
KILL_SHOT,FLATLINE,FLATLINE,67,17,-0.86,-0.97,-58.0,-16.0,1,-74.0
CASCADE,NOISE,STEEP_LINEAR_UP,16,10,-3.97,-0.75,-64.0,-8.0,1,-72.0
KILL_SHOT,GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,159,20,-0.18,-2.12,-29.0,-42.0,1,-71.0
FADE_CALM,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,232,22,-0.27,-0.16,-64.0,-4.0,1,-68.0
CASCADE,GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,41,11,-0.41,-4.23,-17.0,-46.0,1,-63.0
FADE_CALM,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,205,18,-0.12,-1.67,-26.0,-30.0,1,-56.0
KILL_SHOT,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,154,43,-0.27,-0.14,-42.0,-6.0,1,-48.0
CASCADE,GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,32,12,-0.86,-1.62,-28.0,-20.0,1,-48.0
FADE_CALM,STEEP_CONVEX_DOWN,FLATLINE,73,16,-0.5,-0.69,-36.0,-11.0,1,-47.0
FADE_AT_BAND,GENTLE_CONVEX_UP,STEEP_LINEAR_UP,28,11,-0.79,-1.36,-22.0,-15.0,1,-37.0
NMP_FADE_RAW,GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,41,12,-0.51,-0.58,-21.0,-7.0,1,-28.0
NMP_FADE_RAW,STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,33,11,-0.47,-1.0,-16.0,-11.0,1,-27.0
NMP_FADE_RAW,GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,62,10,-0.31,-0.35,-20.0,-4.0,1,-24.0
FADE_CALM,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,166,36,-0.11,-0.12,-18.0,-4.0,1,-22.0
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,24,10,-0.31,-1.25,-8.0,-12.0,1,-20.0
