**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,open,high,low,close,range,body,efficiency,body_signed,strat_pnl,strat_n,strat_wins,eff_q,range_20d_mean,range_ratio,window
2026-01-23,25617.25,25845.5,25540.0,25679.0,305.5,61.75,0.20212765957446807,61.75,214.10000000000002,11,3,Q1 chop,312.9166666666667,0.9762982689747003,WORKING (1/2-2/26)
2026-01-25,25590.25,25590.5,25399.5,25559.5,191.0,30.75,0.16099476439790575,-30.75,-320.59999999999997,4,0,Q1 chop,312.5263157894737,0.6111485348602222,WORKING (1/2-2/26)
2026-01-26,25559.25,25932.75,25543.25,25889.75,389.5,330.5,0.8485237483953787,330.5,623.9000000000001,4,4,Q4 trend,306.45,1.2710066895088923,WORKING (1/2-2/26)
2026-01-27,25890.25,26147.0,25874.75,26138.25,272.25,248.0,0.9109274563820018,248.0,-21.30000000000002,7,3,Q4 trend,299.0125,0.9104970527987961,WORKING (1/2-2/26)
2026-01-28,26138.0,26349.0,25996.25,26170.0,352.75,32.0,0.09071580439404678,32.0,-546.3,12,2,Q1 chop,309.75,1.138821630347054,WORKING (1/2-2/26)
2026-01-29,26169.0,26280.75,25536.0,25972.0,744.75,197.0,0.2645182947297751,-197.0,1619.8999999999992,19,10,Q2,313.75,2.3737051792828687,WORKING (1/2-2/26)
2026-01-30,25971.5,25994.0,25568.75,25638.75,425.25,332.75,0.7824808935920047,-332.75,-598.5999999999996,29,7,Q4 trend,335.1,1.2690241718889883,WORKING (1/2-2/26)
2026-02-01,25530.0,25570.75,25373.25,25533.5,197.5,3.5,0.017721518987341773,3.5,455.0000000000001,10,5,Q1 chop,342.8125,0.5761166818596172,WORKING (1/2-2/26)
2026-02-02,25532.75,25978.75,25180.25,25948.0,798.5,415.25,0.5200375704445835,415.25,380.4000000000002,14,6,Q3,338.95,2.355804690957368,WORKING (1/2-2/26)
2026-02-03,25948.25,26027.75,25218.0,25427.75,809.75,520.5,0.642790984871874,-520.5,-222.69999999999982,28,8,Q3,360.3625,2.2470429081827326,WORKING (1/2-2/26)
2026-02-04,25427.25,25514.5,24784.0,25067.75,730.5,359.5,0.4921286789869952,-359.5,-782.3999999999995,41,16,Q2,396.575,1.8420223160814475,WORKING (1/2-2/26)
2026-02-05,25068.5,25169.25,24293.75,24335.0,875.5,733.5,0.8378069674471731,-733.5,113.5000000000004,50,16,Q4 trend,413.7125,2.1162038855485394,WORKING (1/2-2/26)
2026-02-06,24335.0,25221.5,24240.5,25107.75,981.0,772.75,0.7877166156982671,772.75,-321.6999999999998,23,10,Q4 trend,445.3375,2.202823701125551,WORKING (1/2-2/26)
2026-02-08,25150.25,25295.0,25148.0,25275.75,147.0,125.5,0.8537414965986394,125.5,-85.30000000000001,2,1,Q4 trend,469.15,0.3133326228285197,WORKING (1/2-2/26)
2026-02-09,25275.25,25429.0,24955.5,25345.0,473.5,69.75,0.14730728616684266,69.75,485.5000000000002,15,8,Q1 chop,456.9125,1.0363034497852432,WORKING (1/2-2/26)
2026-02-10,25344.5,25447.0,25197.5,25273.25,249.5,71.25,0.28557114228456915,-71.25,295.90000000000003,14,7,Q2,465.5375,0.5359396396638294,WORKING (1/2-2/26)
2026-02-11,25273.25,25465.5,25058.0,25235.0,407.5,38.25,0.09386503067484663,-38.25,765.4000000000002,19,9,Q1 chop,470.2375,0.8665833754219942,WORKING (1/2-2/26)
2026-02-12,25234.5,25420.0,24721.5,24823.25,698.5,411.25,0.5887616320687187,-411.25,-117.20000000000002,28,7,Q3,478.925,1.4584747089836614,WORKING (1/2-2/26)
2026-02-13,24823.0,24995.5,24578.75,24772.75,416.75,50.25,0.1205758848230354,-50.25,-453.9999999999998,30,10,Q1 chop,496.675,0.8390798812100468,WORKING (1/2-2/26)
2026-02-16,24836.25,24922.25,24670.5,24817.5,251.75,18.75,0.07447864945382324,-18.75,-19.900000000000063,11,3,Q1 chop,486.15,0.5178442867427749,WORKING (1/2-2/26)
2026-02-17,24817.5,24889.5,24449.25,24710.75,440.25,106.75,0.24247586598523566,-106.75,864.3000000000002,23,12,Q2,485.9125,0.906027319733491,WORKING (1/2-2/26)
2026-02-18,24711.0,25128.5,24707.75,24964.25,420.75,253.25,0.6019013666072489,253.25,-14.999999999999972,15,4,Q3,492.65,0.8540546026590886,WORKING (1/2-2/26)
