day,pivot_ts,pivot_bar,n_bars,entry_ts,entry_bar,dir,entry_px,exit_ts,exit_bar,exit_px,exit_reason,pnl_pts,pnl_usd,combiner_P
2026_06_23,1782221460.0,1,6,1782221820,7,-1,29714.5,1782221925,,29764.5,CAT_STOP,-50.0,-101.0,0.8531
2026_06_23,1782221460.0,1,8,1782221940,9,-1,29779.5,1782222480,18,29829.5,CAT_STOP,-50.0,-101.0,0.8212
2026_06_23,1782221460.0,1,18,1782222540,19,1,29819.0,1782225060,61,29924.5,R_TRIGGER,105.5,210.0,0.7838
2026_06_23,1782224400.0,50,12,1782225120,62,-1,29908.75,1782225390,,29958.75,CAT_STOP,-50.0,-101.0,0.7356
2026_06_23,1782224400.0,50,18,1782225480,68,-1,29923.5,1782225485,,29973.5,CAT_STOP,-50.0,-101.0,0.7985
2026_06_23,1782224400.0,50,19,1782225540,69,-1,29901.0,1782229980,143,29800.0,R_TRIGGER,101.0,201.0,0.835
2026_06_23,1782229200.0,130,13,1782229980,143,1,29800.0,1782234240,214,29814.5,R_TRIGGER,14.5,28.0,0.9723
2026_06_23,1782231180.0,163,51,1782234240,214,-1,29814.5,1782234700,,29864.5,CAT_STOP,-50.0,-101.0,0.7938
2026_06_23,1782231180.0,163,64,1782235020,227,-1,29824.5,1782235300,,29874.5,CAT_STOP,-50.0,-101.0,0.7841
2026_06_23,1782231180.0,163,72,1782235500,235,1,29872.5,1782236705,,29822.5,CAT_STOP,-50.0,-101.0,0.9751
2026_06_23,1782231180.0,163,94,1782236820,257,-1,29824.0,1782241380,333,29698.0,R_TRIGGER,126.0,251.0,0.9677
2026_06_23,1782240840.0,324,9,1782241380,333,1,29698.0,1782241680,338,29649.75,R_TRIGGER,-48.25,-97.5,0.9791
2026_06_23,1782241500.0,335,3,1782241680,338,-1,29649.75,1782242630,,29699.75,CAT_STOP,-50.0,-101.0,0.7413
2026_06_23,1782241500.0,335,19,1782242640,354,-1,29688.25,1782242760,356,29706.25,R_TRIGGER,-18.0,-37.0,0.8357
2026_06_23,1782242460.0,351,5,1782242760,356,-1,29706.25,1782245700,405,29706.0,SESSION_CLOSE,0.25,-0.5,0.7505
2026_06_24,,-70,70,1782307800,0,-1,29653.0,1782307960,,29703.0,CAT_STOP,-50.0,-101.0,0.8386
2026_06_24,1782307800.0,0,3,1782307980,3,1,29818.0,1782308205,,29768.0,CAT_STOP,-50.0,-101.0,0.9851
2026_06_24,1782307800.0,0,7,1782308220,7,1,29804.5,1782308325,,29754.5,CAT_STOP,-50.0,-101.0,0.7843
2026_06_24,1782308160.0,6,3,1782308340,9,-1,29727.5,1782308760,16,29701.25,R_TRIGGER,26.25,51.5,0.7916
2026_06_24,1782308580.0,13,3,1782308760,16,1,29701.25,1782308770,,29651.25,CAT_STOP,-50.0,-101.0,0.866
2026_06_24,1782308580.0,13,4,1782308820,17,1,29651.5,1782308915,,29601.5,CAT_STOP,-50.0,-101.0,0.8262
2026_06_24,1782308580.0,13,6,1782308940,19,-1,29660.25,1782309035,,29710.25,CAT_STOP,-50.0,-101.0,0.8672
2026_06_24,1782308580.0,13,8,1782309060,21,-1,29767.5,1782310980,53,29647.0,R_TRIGGER,120.5,240.0,0.8294
2026_06_24,1782310800.0,50,3,1782310980,53,-1,29647.0,1782311120,,29697.0,CAT_STOP,-50.0,-101.0,0.8205
2026_06_24,1782310800.0,50,6,1782311160,56,-1,29657.75,1782311280,58,29707.75,CAT_STOP,-50.0,-101.0,0.8342
2026_06_24,1782310800.0,50,8,1782311280,58,1,29703.5,1782313680,98,29801.25,R_TRIGGER,97.75,194.5,0.7667
2026_06_24,1782313260.0,91,8,1782313740,99,-1,29784.25,1782315000,120,29817.0,R_TRIGGER,-32.75,-66.5,0.9753
2026_06_24,1782314700.0,115,6,1782315060,121,-1,29787.75,1782324900,285,29492.5,R_TRIGGER,295.25,589.5,0.7691
2026_06_24,1782322380.0,243,42,1782324900,285,1,29492.5,1782326400,310,29438.75,R_TRIGGER,-53.75,-108.5,0.9805
2026_06_24,1782325500.0,295,15,1782326400,310,-1,29438.75,1782329100,355,29356.0,R_TRIGGER,82.75,164.5,0.9796
2026_06_24,1782328380.0,343,14,1782329220,357,1,29368.75,1782332100,405,29868.0,SESSION_CLOSE,499.25,997.5,0.9793
2026_06_25,,-60,60,1782394200,0,-1,30122.75,1782394205,,30172.75,CAT_STOP,-50.0,-101.0,0.8344
2026_06_25,,-60,61,1782394260,1,-1,30081.0,1782396120,32,29483.0,R_TRIGGER,598.0,1195.0,0.8593
2026_06_25,1782395940.0,29,3,1782396120,32,1,29483.0,1782396125,,29433.0,CAT_STOP,-50.0,-101.0,0.8041
2026_06_25,1782395940.0,29,4,1782396180,33,1,29510.0,1782396840,44,29546.5,R_TRIGGER,36.5,72.0,0.7809
2026_06_25,1782396660.0,41,3,1782396840,44,1,29546.5,1782397010,,29496.5,CAT_STOP,-50.0,-101.0,0.8691
2026_06_25,1782396660.0,41,6,1782397020,47,1,29537.0,1782397440,54,29569.25,R_TRIGGER,32.25,63.5,0.851
2026_06_25,1782397260.0,51,3,1782397440,54,1,29569.25,1782398220,67,29630.75,R_TRIGGER,61.5,122.0,0.863
2026_06_25,1782397980.0,63,4,1782398220,67,1,29630.75,1782398580,73,29599.75,R_TRIGGER,-31.0,-63.0,0.8886
2026_06_25,1782398400.0,70,3,1782398580,73,-1,29599.75,1782398880,78,29654.75,R_TRIGGER,-55.0,-111.0,0.8051
2026_06_25,1782398700.0,75,3,1782398880,78,1,29654.75,1782398890,,29604.75,CAT_STOP,-50.0,-101.0,0.8366
2026_06_25,1782398700.0,75,4,1782398940,79,1,29671.0,1782399420,87,29622.0,R_TRIGGER,-49.0,-99.0,0.7519
2026_06_25,1782399240.0,84,3,1782399420,87,-1,29622.0,1782399430,,29672.0,CAT_STOP,-50.0,-101.0,0.7461
2026_06_25,1782399240.0,84,4,1782399480,88,-1,29616.5,1782399690,,29666.5,CAT_STOP,-50.0,-101.0,0.8201
2026_06_25,1782399240.0,84,8,1782399720,92,1,29697.0,1782399730,,29647.0,CAT_STOP,-50.0,-101.0,0.8487
2026_06_25,1782399240.0,84,9,1782399780,93,1,29676.0,1782400080,98,29650.5,R_TRIGGER,-25.5,-52.0,0.7417
2026_06_25,1782399900.0,95,3,1782400080,98,1,29650.5,1782400300,,29600.5,CAT_STOP,-50.0,-101.0,0.872
2026_06_25,1782399900.0,95,7,1782400320,102,-1,29551.0,1782400330,,29601.0,CAT_STOP,-50.0,-101.0,0.9829
2026_06_25,1782399900.0,95,8,1782400380,103,-1,29541.25,1782400680,108,29561.25,R_TRIGGER,-20.0,-41.0,0.8623
2026_06_25,1782400500.0,105,4,1782400740,109,-1,29589.75,1782401005,,29639.75,CAT_STOP,-50.0,-101.0,0.7687
2026_06_25,1782400500.0,105,9,1782401040,114,-1,29645.25,1782402260,,29695.25,CAT_STOP,-50.0,-101.0,0.8492
2026_06_25,1782400500.0,105,30,1782402300,135,1,29735.0,1782402305,,29685.0,CAT_STOP,-50.0,-101.0,0.818
2026_06_25,1782400500.0,105,31,1782402360,136,1,29739.75,1782402540,139,29678.0,R_TRIGGER,-61.75,-124.5,0.7351
2026_06_25,1782402360.0,136,4,1782402600,140,1,29674.75,1782404580,173,29756.5,R_TRIGGER,81.75,162.5,0.796
2026_06_25,1782404160.0,166,8,1782404640,174,-1,29760.5,1782406080,198,29686.0,R_TRIGGER,74.5,148.0,0.9797
2026_06_25,1782405900.0,195,3,1782406080,198,-1,29686.0,1782407460,221,29736.0,CAT_STOP,-50.0,-101.0,0.7538
2026_06_25,1782405900.0,195,26,1782407460,221,1,29755.5,1782407940,229,29700.75,R_TRIGGER,-54.75,-110.5,0.8136
2026_06_25,1782407760.0,226,4,1782408000,230,1,29711.25,1782409500,255,29702.0,R_TRIGGER,-9.25,-19.5,0.7901
2026_06_25,1782409200.0,250,5,1782409500,255,-1,29702.0,1782410030,,29752.0,CAT_STOP,-50.0,-101.0,0.9837
2026_06_25,1782409200.0,250,14,1782410040,264,-1,29746.25,1782410220,267,29771.25,R_TRIGGER,-25.0,-51.0,0.7772
2026_06_25,1782409740.0,259,8,1782410220,267,-1,29771.25,1782410820,277,29773.75,R_TRIGGER,-2.5,-6.0,0.8094
2026_06_25,1782410580.0,273,6,1782410940,279,-1,29798.25,1782411540,289,29848.25,CAT_STOP,-50.0,-101.0,0.7677
2026_06_25,1782410580.0,273,16,1782411540,289,1,29837.25,1782412320,302,29799.25,R_TRIGGER,-38.0,-77.0,0.9865
2026_06_25,1782412080.0,298,5,1782412380,303,-1,29774.75,1782413520,322,29811.0,R_TRIGGER,-36.25,-73.5,0.7535
2026_06_25,1782413220.0,317,5,1782413520,322,-1,29811.0,1782417300,385,29704.25,R_TRIGGER,106.75,212.5,0.8065
2026_06_25,1782417000.0,380,5,1782417300,385,-1,29704.25,1782417600,390,29754.25,CAT_STOP,-50.0,-101.0,0.8867
2026_06_25,1782417000.0,380,10,1782417600,390,1,29833.5,1782417605,,29783.5,CAT_STOP,-50.0,-101.0,0.9799
2026_06_25,1782417000.0,380,11,1782417660,391,1,29897.0,1782417835,,29847.0,CAT_STOP,-50.0,-101.0,0.8055
2026_06_25,1782417660.0,391,5,1782417960,396,1,29825.0,1782418500,405,29817.0,SESSION_CLOSE,-8.0,-17.0,0.8276
2026_06_26,,-12,12,1782480600,0,1,29334.25,1782480780,3,29284.25,CAT_STOP,-50.0,-101.0,0.7994
2026_06_26,,-12,15,1782480780,3,-1,29200.5,1782480785,,29250.5,CAT_STOP,-50.0,-101.0,0.7931
2026_06_26,,-12,16,1782480840,4,-1,29231.75,1782480960,6,29281.75,CAT_STOP,-50.0,-101.0,0.9844
2026_06_26,,-12,18,1782480960,6,-1,29316.5,1782481380,13,29328.0,R_TRIGGER,-11.5,-24.0,0.7426
2026_06_26,1782481200.0,10,3,1782481380,13,-1,29328.0,1782482220,27,29378.0,CAT_STOP,-50.0,-101.0,0.7934
2026_06_26,1782481200.0,10,17,1782482220,27,1,29444.5,1782482230,,29394.5,CAT_STOP,-50.0,-101.0,0.9907
2026_06_26,1782481200.0,10,18,1782482280,28,1,29455.25,1782484620,67,29506.5,R_TRIGGER,51.25,101.5,0.8818
2026_06_26,1782483600.0,50,17,1782484620,67,-1,29506.5,1782485315,,29556.5,CAT_STOP,-50.0,-101.0,0.7643
2026_06_26,1782483600.0,50,29,1782485340,79,-1,29531.0,1782487440,114,29558.0,R_TRIGGER,-27.0,-55.0,0.8193
2026_06_26,1782486900.0,105,10,1782487500,115,1,29571.5,1782489060,141,29572.5,R_TRIGGER,1.0,1.0,0.9767
2026_06_26,1782488640.0,134,7,1782489060,141,-1,29572.5,1782489420,147,29622.5,CAT_STOP,-50.0,-101.0,0.9782
