day,pivot_ts,pivot_bar,n_bars,entry_ts,entry_bar,dir,entry_px,exit_ts,exit_bar,exit_px,exit_reason,ride_pnl_usd,stop_pnl_usd,combiner_P
2024_02_05,1707144960.0,26,4,1707145200,30,-1,17682.5,1707146520,52,17616.25,R_TRIGGER,131.5,131.5,0.971
2024_02_05,1707146760.0,56,7,1707147180,63,-1,17610.5,1707148080,78,17576.5,R_TRIGGER,67.0,67.0,0.7475
2024_02_05,1707147900.0,75,14,1707148740,89,1,17593.0,1707150360,116,17615.5,R_TRIGGER,44.0,44.0,0.952
2024_02_05,1707150540.0,119,6,1707150900,125,1,17639.25,1707151320,132,17619.5,R_TRIGGER,-40.5,-40.5,0.7661
2024_02_05,1707151320.0,132,6,1707151680,138,1,17643.5,1707155400,200,17698.0,R_TRIGGER,108.0,108.0,0.7386
2024_02_05,1707154680.0,188,15,1707155580,203,-1,17693.25,1707156300,215,17695.25,R_TRIGGER,-5.0,-5.0,0.9467
2024_02_05,1707156060.0,211,12,1707156780,223,1,17714.75,1707157260,231,17698.5,R_TRIGGER,-33.5,-33.5,0.9564
2024_02_05,1707156840.0,224,10,1707157440,234,-1,17691.25,1707159600,270,17690.5,R_TRIGGER,0.5,0.5,0.9568
2024_02_05,1707159300.0,265,13,1707160080,278,1,17703.75,1707163260,331,17723.75,R_TRIGGER,39.0,39.0,0.7391
2024_02_05,1707162600.0,320,13,1707163380,333,-1,17715.75,1707164520,352,17693.75,R_TRIGGER,43.0,43.0,0.961
2024_02_05,1707164160.0,346,11,1707164820,357,1,17715.0,1707165540,369,17700.5,R_TRIGGER,-30.0,-30.0,0.9564
2024_02_05,1707165540.0,369,12,1707166260,381,1,17722.75,1707166740,389,17697.25,R_TRIGGER,-52.0,-52.0,0.8524
2024_02_05,1707166560.0,386,4,1707166800,390,-1,17685.0,1707167100,395,17699.0,R_TRIGGER,-29.0,-29.0,0.9735
2024_02_05,1707166800.0,390,7,1707167220,397,-1,17705.0,1707167700,405,17700.5,SESSION_CLOSE,8.0,8.0,0.7398
2024_02_06,,-123,124,1707229860,1,1,17759.0,1707229980,3,17738.75,R_TRIGGER,-41.5,-41.5,0.8473
2024_02_06,1707229800.0,0,4,1707230040,4,-1,17729.25,1707230520,12,17724.25,R_TRIGGER,9.0,9.0,0.9737
2024_02_06,1707230220.0,7,10,1707230820,17,-1,17706.25,1707231240,24,17685.25,R_TRIGGER,41.0,41.0,0.7592
2024_02_06,1707231240.0,24,3,1707231420,27,-1,17667.5,1707232500,45,17639.5,R_TRIGGER,55.0,55.0,0.7404
2024_02_06,1707232200.0,40,11,1707232860,51,-1,17648.25,1707233280,58,17621.75,R_TRIGGER,52.0,52.0,0.7419
2024_02_06,1707233100.0,55,12,1707233820,67,1,17649.25,1707234000,70,17641.75,R_TRIGGER,-16.0,-16.0,0.9467
2024_02_06,1707234120.0,72,3,1707234300,75,1,17636.5,1707234600,80,17636.5,R_TRIGGER,-1.0,-1.0,0.7392
2024_02_06,1707234720.0,82,18,1707235800,100,1,17651.0,1707235980,103,17626.0,R_TRIGGER,-51.0,-51.0,0.7372
2024_02_06,1707235680.0,98,6,1707236040,104,-1,17627.5,1707236340,109,17645.0,R_TRIGGER,-36.0,-36.0,0.7672
2024_02_06,1707236040.0,104,13,1707236820,117,1,17648.75,1707237360,126,17635.0,R_TRIGGER,-28.5,-28.5,0.7359
2024_02_06,1707237060.0,121,5,1707237360,126,-1,17635.0,1707240360,176,17588.0,R_TRIGGER,93.0,93.0,0.754
2024_02_06,1707240060.0,171,8,1707240540,179,1,17604.0,1707240780,183,17590.0,R_TRIGGER,-29.0,-29.0,0.9572
2024_02_06,1707241440.0,194,11,1707242100,205,1,17601.25,1707243120,222,17599.0,R_TRIGGER,-5.5,-5.5,0.7541
2024_02_06,1707242940.0,219,3,1707243120,222,-1,17599.0,1707244200,240,17606.5,R_TRIGGER,-16.0,-16.0,0.7603
2024_02_06,1707243720.0,232,18,1707244800,250,1,17627.25,1707246300,275,17610.0,R_TRIGGER,-35.5,-35.5,0.8128
2024_02_06,1707245940.0,269,7,1707246360,276,-1,17602.0,1707247320,292,17591.5,R_TRIGGER,20.0,20.0,0.9782
2024_02_06,1707247080.0,288,8,1707247560,296,1,17596.5,1707248400,310,17595.0,R_TRIGGER,-4.0,-4.0,0.9567
2024_02_06,1707250020.0,337,12,1707250740,349,1,17639.5,1707253500,395,17646.5,R_TRIGGER,13.0,13.0,0.7587
2024_02_06,1707253320.0,392,11,1707253980,403,-1,17644.75,1707254100,405,17645.5,SESSION_CLOSE,-2.5,-2.5,0.9419
2024_02_07,,-3,8,1707316500,5,-1,17753.75,1707317280,18,17749.25,R_TRIGGER,8.0,8.0,0.7991
2024_02_07,1707317100.0,15,3,1707317280,18,1,17749.25,1707317760,26,17728.25,R_TRIGGER,-43.0,-43.0,0.7604
2024_02_07,1707317580.0,23,3,1707317760,26,-1,17728.25,1707318000,30,17749.0,R_TRIGGER,-42.5,-42.5,0.7397
2024_02_07,1707317760.0,26,15,1707318660,41,1,17768.0,1707320220,67,17847.75,R_TRIGGER,158.5,158.5,0.966
2024_02_07,1707320400.0,70,13,1707321180,83,1,17854.75,1707321300,85,17838.75,R_TRIGGER,-33.0,-33.0,0.7484
2024_02_07,1707321120.0,82,3,1707321300,85,1,17838.75,1707322620,107,17834.75,R_TRIGGER,-9.0,-9.0,0.7659
2024_02_07,1707322320.0,102,22,1707323640,124,-1,17807.75,1707324300,135,17828.5,R_TRIGGER,-42.5,-42.5,0.9717
2024_02_07,1707323760.0,126,18,1707324840,144,1,17842.0,1707325920,162,17827.5,R_TRIGGER,-30.0,-30.0,0.9492
2024_02_07,1707325920.0,162,6,1707326280,168,1,17849.25,1707326700,175,17823.0,R_TRIGGER,-53.5,-53.5,0.8309
2024_02_07,1707326220.0,167,9,1707326760,176,-1,17817.75,1707327960,196,17804.75,R_TRIGGER,25.0,25.0,0.9651
2024_02_07,1707327660.0,191,16,1707328620,207,1,17813.25,1707329040,214,17794.25,R_TRIGGER,-39.0,-39.0,0.9577
2024_02_07,1707328860.0,211,4,1707329100,215,-1,17801.75,1707329400,220,17822.0,R_TRIGGER,-41.5,-41.5,0.8024
2024_02_07,1707329040.0,214,19,1707330180,233,1,17833.0,1707334320,302,17833.25,R_TRIGGER,-0.5,-0.5,0.765
2024_02_07,1707334320.0,302,28,1707336000,330,1,17854.25,1707338580,373,17842.5,R_TRIGGER,-24.5,-24.5,0.7395
2024_02_07,1707336240.0,334,50,1707339240,384,-1,17835.5,1707340500,405,17858.5,SESSION_CLOSE,-47.0,-47.0,0.7512
2024_02_08,,-60,60,1707402600,0,1,17828.0,1707402780,3,17822.75,R_TRIGGER,-11.5,-11.5,0.8242
2024_02_08,1707402600.0,0,3,1707402780,3,1,17822.75,1707403200,10,17826.5,R_TRIGGER,6.5,6.5,0.798
2024_02_08,1707403020.0,7,8,1707403500,15,1,17822.25,1707404880,38,17841.25,R_TRIGGER,37.0,37.0,0.7372
2024_02_08,1707405120.0,42,7,1707405540,49,1,17857.25,1707405900,55,17837.5,R_TRIGGER,-40.5,-40.5,0.835
2024_02_08,1707405720.0,52,8,1707406200,60,-1,17827.75,1707406500,65,17857.5,R_TRIGGER,-60.5,-60.5,0.9694
2024_02_08,1707406560.0,66,6,1707406920,72,-1,17847.5,1707407100,75,17857.25,R_TRIGGER,-20.5,-20.5,0.7656
2024_02_08,1707406920.0,72,6,1707407280,78,1,17873.25,1707409560,116,17867.5,R_TRIGGER,-12.5,-12.5,0.9515
2024_02_08,1707409260.0,111,9,1707409800,120,-1,17869.0,1707410100,125,17880.75,R_TRIGGER,-24.5,-24.5,0.9646
2024_02_08,1707410700.0,135,12,1707411420,147,1,17887.25,1707411960,156,17872.25,R_TRIGGER,-31.0,-31.0,0.9438
2024_02_08,1707412080.0,158,17,1707413100,175,1,17885.25,1707414060,191,17873.0,R_TRIGGER,-25.5,-25.5,0.7361
2024_02_08,1707413280.0,178,14,1707414120,192,-1,17872.25,1707415260,211,17883.25,R_TRIGGER,-23.0,-23.0,0.9646
2024_02_08,1707414900.0,205,6,1707415260,211,1,17883.25,1707416160,226,17862.5,R_TRIGGER,-42.5,-42.5,0.9637
2024_02_08,1707415560.0,216,10,1707416160,226,1,17862.5,1707418200,260,17868.0,R_TRIGGER,10.0,10.0,0.7507
2024_02_08,1707417480.0,248,12,1707418200,260,-1,17868.0,1707420000,290,17858.75,R_TRIGGER,17.5,17.5,0.9594
2024_02_08,1707419280.0,278,16,1707420240,294,-1,17847.25,1707421380,313,17848.25,R_TRIGGER,-3.0,-3.0,0.7546
2024_02_08,1707421080.0,308,9,1707421620,317,1,17855.0,1707425040,374,17859.75,R_TRIGGER,8.5,8.5,0.9645
2024_02_08,1707424080.0,358,16,1707425040,374,-1,17859.75,1707425940,389,17865.25,R_TRIGGER,-12.0,-12.0,0.7354
2024_02_09,,-57,57,1707489000,0,-1,17895.0,1707489900,15,17903.5,R_TRIGGER,-18.0,-18.0,0.8252
2024_02_09,1707489540.0,9,14,1707490380,23,-1,17901.5,1707490820,,17943.0,CAT_STOP,-84.0,-101.0,0.7555
2024_02_09,1707491100.0,35,10,1707491700,45,1,17943.75,1707495960,116,17980.0,R_TRIGGER,71.5,71.5,0.7499
2024_02_09,1707495120.0,102,16,1707496080,118,-1,17981.75,1707496800,130,17993.75,R_TRIGGER,-25.0,-25.0,0.9589
2024_02_09,1707496500.0,125,8,1707496980,133,1,17993.0,1707498660,161,17982.0,R_TRIGGER,-23.0,-23.0,0.9445
2024_02_09,1707497520.0,142,19,1707498660,161,-1,17982.0,1707499860,181,18005.0,R_TRIGGER,-47.0,-47.0,0.96
2024_02_09,1707499140.0,169,13,1707499920,182,1,18002.25,1707508860,331,18042.5,R_TRIGGER,79.5,79.5,0.7538
2024_02_09,1707507960.0,316,15,1707508860,331,-1,18042.5,1707513300,405,18032.25,SESSION_CLOSE,19.5,19.5,0.9512
2024_02_12,,-299,300,1707748260,1,-1,18013.5,1707748440,4,18045.25,R_TRIGGER,-64.5,-64.5,0.7646
2024_02_12,1707748260.0,1,3,1707748440,4,1,18045.25,1707748860,11,18025.5,R_TRIGGER,-40.5,-40.5,0.9582
2024_02_12,1707749340.0,19,14,1707750180,33,1,18027.5,1707750480,38,18022.75,R_TRIGGER,-10.5,-10.5,0.7491
2024_02_12,1707749940.0,29,24,1707751380,53,-1,18021.75,1707751560,56,18032.25,R_TRIGGER,-22.0,-22.0,0.949
2024_02_12,1707750960.0,46,18,1707752040,64,1,18042.0,1707753720,92,18066.0,R_TRIGGER,47.0,47.0,0.9576
2024_02_12,1707754320.0,102,12,1707755040,114,1,18085.75,1707756120,132,18105.5,R_TRIGGER,38.5,38.5,0.8291
2024_02_12,1707755880.0,128,10,1707756480,138,-1,18090.0,1707756840,144,18102.5,R_TRIGGER,-26.0,-26.0,0.9598
2024_02_12,1707756540.0,139,11,1707757200,150,-1,18097.75,1707757560,156,18103.5,R_TRIGGER,-12.5,-12.5,0.7491
2024_02_12,1707757860.0,161,13,1707758640,174,-1,18076.5,1707760080,198,18091.25,R_TRIGGER,-30.5,-30.5,0.8466
2024_02_12,1707758760.0,176,22,1707760080,198,1,18091.25,1707762120,232,18084.5,R_TRIGGER,-14.5,-14.5,0.9571
2024_02_12,1707761820.0,227,6,1707762180,233,-1,18073.5,1707763500,255,18009.5,R_TRIGGER,127.0,127.0,0.9673
2024_02_12,1707763320.0,252,4,1707763560,256,1,18014.25,1707764520,272,18007.5,R_TRIGGER,-14.5,-14.5,0.7534
2024_02_12,1707764280.0,268,5,1707764580,273,-1,18010.75,1707764940,279,18013.75,R_TRIGGER,-7.0,-7.0,0.8005
2024_02_12,1707764700.0,275,9,1707765240,284,1,18005.75,1707765300,285,17991.75,R_TRIGGER,-29.0,-29.0,0.7649
2024_02_12,1707765120.0,282,3,1707765300,285,-1,17991.75,1707765780,293,17974.25,R_TRIGGER,34.0,34.0,0.9696
2024_02_12,1707765600.0,290,8,1707766080,298,-1,17974.25,1707766860,311,17987.0,R_TRIGGER,-26.5,-26.5,0.7403
2024_02_12,1707766560.0,306,6,1707766920,312,1,17984.0,1707767220,317,17969.5,R_TRIGGER,-30.0,-30.0,0.81
2024_02_12,1707766860.0,311,10,1707767460,321,-1,17955.5,1707768120,332,17961.75,R_TRIGGER,-13.5,-13.5,0.9662
2024_02_12,1707767880.0,328,7,1707768300,335,-1,17966.0,1707771120,382,17978.75,R_TRIGGER,-26.5,-26.5,0.7376
2024_02_12,1707770460.0,371,14,1707771300,385,-1,17953.0,1707772500,405,17927.5,SESSION_CLOSE,50.0,50.0,0.8018
2024_02_13,,-65,65,1707834600,0,-1,17616.75,1707834780,3,17629.75,R_TRIGGER,-27.0,-27.0,0.7729
2024_02_13,1707834600.0,0,5,1707834900,5,-1,17647.75,1707837600,50,17689.0,R_TRIGGER,-83.5,-83.5,0.797
2024_02_13,1707837420.0,47,3,1707837600,50,1,17689.0,1707839760,86,17745.25,R_TRIGGER,111.5,111.5,0.9738
2024_02_13,1707838980.0,73,14,1707839820,87,-1,17736.0,1707840540,99,17771.25,R_TRIGGER,-71.5,-71.5,0.952
2024_02_13,1707839940.0,89,10,1707840540,99,1,17771.25,1707843180,143,17725.25,R_TRIGGER,-93.0,-93.0,0.9547
2024_02_13,1707840540.0,99,44,1707843180,143,-1,17725.25,1707852960,306,17641.5,R_TRIGGER,166.5,166.5,0.9621
2024_02_13,1707851640.0,284,30,1707853440,314,-1,17632.75,1707856620,367,17592.5,R_TRIGGER,79.5,79.5,0.7511
2024_02_13,1707855720.0,352,15,1707856620,367,1,17592.5,1707858900,405,17690.5,SESSION_CLOSE,195.0,195.0,0.7441
2024_02_14,1707921060.0,1,3,1707921240,4,1,17787.0,1707922260,21,17757.75,R_TRIGGER,-59.5,-59.5,0.7352
2024_02_14,1707922080.0,18,3,1707922260,21,-1,17757.75,1707922740,29,17789.25,R_TRIGGER,-64.0,-64.0,0.7501
2024_02_14,1707922260.0,21,9,1707922800,30,1,17793.25,1707923520,42,17795.75,R_TRIGGER,4.0,4.0,0.9618
2024_02_14,1707923280.0,38,5,1707923580,43,1,17800.75,1707924960,66,17827.75,R_TRIGGER,53.0,53.0,0.7445
2024_02_14,1707924480.0,58,12,1707925200,70,-1,17803.5,1707926820,97,17741.25,R_TRIGGER,123.5,123.5,0.9695
2024_02_14,1707926880.0,98,14,1707927720,112,-1,17729.75,1707927780,113,17744.0,R_TRIGGER,-29.5,-29.5,0.7368
2024_02_14,1707927420.0,107,8,1707927900,115,1,17755.0,1707929040,134,17728.75,R_TRIGGER,-53.5,-53.5,0.9553
2024_02_14,1707928860.0,131,3,1707929040,134,-1,17728.75,1707930540,159,17719.0,R_TRIGGER,18.5,18.5,0.7933
2024_02_14,1707930360.0,156,7,1707930780,163,1,17730.0,1707934200,220,17755.75,R_TRIGGER,50.5,50.5,0.9568
2024_02_14,1707933840.0,214,6,1707934200,220,-1,17755.75,1707935520,242,17774.25,R_TRIGGER,-38.0,-38.0,0.9639
2024_02_14,1707934380.0,223,19,1707935520,242,1,17774.25,1707936960,266,17774.25,R_TRIGGER,-1.0,-1.0,0.9639
2024_02_14,1707936000.0,250,16,1707936960,266,-1,17774.25,1707937980,283,17759.5,R_TRIGGER,28.5,28.5,0.9465
2024_02_14,1707937680.0,278,5,1707937980,283,1,17759.5,1707945300,405,17869.25,SESSION_CLOSE,218.5,218.5,0.7745
2024_02_15,,-57,60,1708007580,3,-1,17889.25,1708009680,38,17827.75,R_TRIGGER,122.0,122.0,0.8979
2024_02_15,1708009440.0,34,8,1708009920,42,1,17850.25,1708010460,51,17830.75,R_TRIGGER,-40.0,-40.0,0.9626
2024_02_15,1708010280.0,48,6,1708010640,54,1,17847.5,1708013040,94,17804.5,R_TRIGGER,-87.0,-87.0,0.7352
2024_02_15,1708012440.0,84,10,1708013040,94,-1,17804.5,1708014060,111,17822.25,R_TRIGGER,-36.5,-36.5,0.9753
2024_02_15,1708013400.0,100,15,1708014300,115,1,17819.0,1708015920,142,17822.5,R_TRIGGER,6.0,6.0,0.9506
2024_02_15,1708015380.0,133,9,1708015920,142,-1,17822.5,1708017120,162,17849.75,R_TRIGGER,-55.5,-55.5,0.9651
2024_02_15,1708015920.0,142,20,1708017120,162,1,17849.75,1708023300,265,17902.5,R_TRIGGER,104.5,104.5,0.9496
2024_02_15,1708021800.0,240,33,1708023780,273,-1,17909.25,1708025700,305,17915.5,R_TRIGGER,-13.5,-13.5,0.7719
2024_02_15,1708024380.0,283,30,1708026180,313,1,17919.25,1708027740,339,17894.75,R_TRIGGER,-50.0,-50.0,0.7549
2024_02_15,1708026600.0,320,19,1708027740,339,-1,17894.75,1708030260,381,17908.5,R_TRIGGER,-28.5,-28.5,0.8131
2024_02_15,1708028640.0,354,28,1708030320,382,1,17905.0,1708031700,405,17954.5,SESSION_CLOSE,98.0,98.0,0.8369
2024_02_16,,-18,18,1708093800,0,-1,17918.0,1708094220,7,17913.5,R_TRIGGER,8.0,8.0,0.9677
2024_02_16,1708093980.0,3,4,1708094220,7,-1,17913.5,1708095840,34,17751.25,R_TRIGGER,323.5,323.5,0.7899
2024_02_16,1708095600.0,30,7,1708096020,37,-1,17756.0,1708097820,67,17784.75,R_TRIGGER,-58.5,-58.5,0.7626
2024_02_16,1708097640.0,64,6,1708098000,70,1,17812.0,1708103400,160,17856.0,R_TRIGGER,87.0,87.0,0.7992
2024_02_16,1708102680.0,148,13,1708103460,161,-1,17861.75,1708107900,235,17839.5,R_TRIGGER,43.5,43.5,0.9621
2024_02_16,1708107060.0,221,23,1708108440,244,1,17835.5,1708112280,308,17872.75,R_TRIGGER,73.5,73.5,0.9621
2024_02_16,1708110600.0,280,30,1708112400,310,-1,17873.5,1708118100,405,17721.5,SESSION_CLOSE,303.0,303.0,0.7421
2024_02_19,,-83,84,1708353060,1,1,17794.5,1708353840,14,17796.75,R_TRIGGER,3.5,3.5,0.7573
2024_02_19,1708353900.0,15,11,1708354560,26,-1,17794.5,1708355100,35,17797.5,R_TRIGGER,-7.0,-7.0,0.9498
2024_02_19,1708355160.0,36,11,1708355820,47,-1,17785.25,1708356960,66,17787.0,R_TRIGGER,-4.5,-4.5,0.9657
2024_02_19,1708357080.0,68,9,1708357620,77,-1,17776.25,1708358580,93,17783.5,R_TRIGGER,-15.5,-15.5,0.8125
2024_02_19,1708357620.0,77,16,1708358580,93,1,17783.5,1708358940,99,17775.25,R_TRIGGER,-17.5,-17.5,0.952
2024_02_19,1708358580.0,93,7,1708359000,100,-1,17777.75,1708359420,107,17783.0,R_TRIGGER,-11.5,-11.5,0.9642
2024_02_19,1708359000.0,100,12,1708359720,112,1,17784.75,1708365540,209,17788.5,SESSION_CLOSE,6.5,6.5,0.9352
2024_02_20,,-2,3,1708439460,1,1,17711.75,1708439700,5,17678.75,R_TRIGGER,-67.0,-67.0,0.9581
2024_02_20,1708439520.0,2,4,1708439760,6,1,17649.0,1708440060,11,17554.25,CAT_STOP,-190.5,-101.0,0.793
2024_02_20,1708440420.0,17,4,1708440660,21,-1,17554.25,1708441080,28,17576.5,R_TRIGGER,-45.5,-45.5,0.7412
2024_02_20,1708440720.0,22,8,1708441200,30,-1,17552.5,1708442220,47,17540.0,R_TRIGGER,24.0,24.0,0.7758
2024_02_20,1708442280.0,48,8,1708442760,56,-1,17512.25,1708443240,64,17506.0,R_TRIGGER,11.5,11.5,0.7566
2024_02_20,1708443000.0,60,16,1708443960,76,1,17542.75,1708445400,100,17564.75,R_TRIGGER,43.0,43.0,0.9444
2024_02_20,1708444860.0,91,9,1708445400,100,1,17564.75,1708448220,147,17454.0,CAT_STOP,-222.5,-101.0,0.7384
2024_02_20,1708450440.0,184,5,1708450740,189,-1,17454.0,1708450980,193,17491.25,R_TRIGGER,-75.5,-75.5,0.9632
2024_02_20,1708450800.0,190,4,1708451040,194,1,17498.0,1708453620,237,17492.25,R_TRIGGER,-12.5,-12.5,0.9537
2024_02_20,1708453440.0,234,4,1708453680,238,-1,17487.25,1708454460,251,17511.75,R_TRIGGER,-50.0,-50.0,0.7584
2024_02_20,1708454040.0,244,11,1708454700,255,1,17520.25,1708456920,292,17514.5,R_TRIGGER,-12.5,-12.5,0.9487
2024_02_20,1708456740.0,289,6,1708457100,295,1,17513.5,1708461120,362,17557.0,R_TRIGGER,86.0,86.0,0.7535
2024_02_20,1708460880.0,358,5,1708461180,363,-1,17537.0,1708461720,372,17563.5,R_TRIGGER,-54.0,-54.0,0.9765
2024_02_20,1708461300.0,365,7,1708461720,372,-1,17563.5,1708462795,,17582.5,CAT_STOP,-39.0,-101.0,0.7879
2024_02_21,,-24,24,1708525800,0,-1,17484.25,1708526040,4,17502.0,R_TRIGGER,-36.5,-36.5,0.7372
2024_02_21,1708525800.0,0,5,1708526100,5,-1,17491.0,1708527360,26,17483.0,R_TRIGGER,15.0,15.0,0.7715
2024_02_21,1708526820.0,17,15,1708527720,32,-1,17490.75,1708529820,67,17483.5,R_TRIGGER,13.5,13.5,0.8176
