trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,day
3,15:15,1757082000.0,long,23728.0,23590.0,-276.0,55,0.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_05
0,23:59,1757285280.0,short,23737.75,23777.75,-80.0,71,9.0,MTF_BREAKOUT,end_of_day,0,2025_09_07
0,03:06,1757298120.0,long,23740.0,23746.0,12.0,44,17.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_09_08
1,07:48,1757317560.0,short,23773.25,23770.5,5.5,2,6.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_08
2,12:35,1757332860.0,long,23767.0,23764.25,-5.5,34,0.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_08
3,20:00,1757361120.0,long,23796.0,23801.75,11.5,8,15.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_08
0,11:15,1757397480.0,short,23836.5,23825.75,21.5,317,21.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_09
1,13:05,1757419320.0,long,23842.5,23813.0,-59.0,63,26.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_09_09
0,07:10,1757572440.0,short,23912.0,23911.5,1.0,36,7.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_11
1,20:15,1757620860.0,long,24010.5,24009.25,-2.5,14,25.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_09_11
0,12:04,1757678460.0,short,24038.75,24029.75,18.0,3,18.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_12
1,12:20,1757678700.0,long,24031.25,24041.75,21.0,15,24.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_09_12
0,08:35,1757923500.0,long,24109.5,24087.0,-45.0,30,23.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_09_15
1,17:20,1757956080.0,short,24276.75,24258.25,37.0,12,37.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_15
2,18:45,1757957700.0,short,24252.5,24254.5,-4.0,70,8.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_15
0,16:32,1758040260.0,short,24279.5,24280.25,-1.5,1,0.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_16
1,20:00,1758049980.0,long,24314.0,24290.75,-46.5,47,11.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_09_16
2,22:25,1758052860.0,long,24293.0,24305.0,24.0,144,25.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_09_16
0,04:16,1758075900.0,long,24278.0,24270.0,-16.0,111,16.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_09_17
1,06:15,1758086460.0,long,24277.0,24282.25,10.5,54,13.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_17
2,07:15,1758089825.0,short,24281.0,24293.5,-25.0,57,6.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_17
3,08:06,1758094890.0,long,24306.75,24295.5,-22.5,24,10.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_09_17
4,08:48,1758096420.0,long,24296.75,24264.0,-65.5,41,3.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_17
5,14:34,1758117780.0,long,24232.5,24208.25,-48.5,31,6.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_17
6,16:40,1758119700.0,short,24199.5,24139.75,119.5,125,119.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_09_17
7,18:15,1758132060.0,short,24223.0,24101.75,242.5,14,278.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_09_17
8,18:55,1758135000.0,short,24079.75,24061.25,37.0,5,137.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_17
0,06:39,1758173400.0,long,24376.25,24367.5,-17.5,69,6.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_09_18
0,13:29,1758288540.0,short,24566.0,24566.0,0.0,0,0.0,MTF_BREAKOUT,end_of_day,0,2025_09_19
0,00:10,1759276920.0,short,24830.0,24823.5,13.0,8,13.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_01
1,06:50,1759301280.0,long,24671.75,24677.75,12.0,2,12.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_01
2,13:33,1759325520.0,long,24819.5,24827.25,15.5,1,15.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_01
3,13:42,1759325640.0,short,24815.5,24817.0,-3.0,8,0.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_01
