trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,day
4,20:28,1737491220.0,long,21738.25,21741.25,6.0,1,6.0,KILL_SHOT_INVERSE,ksi_cluster_long_extension,0,2025_01_21
5,20:31,1737491280.0,long,21741.25,21752.0,21.5,3,21.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_21
0,12:09,1737547020.0,long,21886.5,21892.75,12.5,12,12.5,KILL_SHOT,kill_shot_peak,0,2025_01_22
1,20:55,1737579180.0,long,21994.5,22011.5,34.0,2,42.5,KILL_SHOT,kill_shot_inverse,0,2025_01_22
0,12:06,1737546960.0,short,21884.5,21884.0,1.0,10,7.5,KILL_SHOT_INVERSE,ksi_cluster_short_extension,0,2025_01_22
1,14:05,1737554520.0,short,21927.25,21922.25,10.0,3,10.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_22
2,20:55,1737579120.0,short,21983.75,22011.5,-55.5,3,0.0,KILL_SHOT_INVERSE,kill_shot_inverse_inverse,0,2025_01_22
0,12:00,1737632700.0,short,21894.75,21893.75,2.0,15,2.0,KILL_SHOT,kill_shot_no_progress,0,2025_01_23
1,14:26,1737641460.0,long,21890.75,21883.5,-14.5,15,4.0,KILL_SHOT,kill_shot_no_progress,0,2025_01_23
0,01:06,1737594060.0,long,21956.0,21963.25,14.5,5,14.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_23
1,05:57,1737611460.0,short,21956.5,21953.5,6.0,6,10.0,KILL_SHOT_INVERSE,ksi_cluster_short_extension,0,2025_01_23
2,11:47,1737632580.0,long,21895.75,21902.25,13.0,4,13.0,KILL_SHOT_INVERSE,ksi_cluster_long_extension,0,2025_01_23
3,14:15,1737641340.0,short,21889.5,21881.5,16.0,6,16.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_23
0,03:07,1737687900.0,short,22054.25,22047.75,13.0,2,13.0,KILL_SHOT,kill_shot_peak,0,2025_01_24
0,03:19,1737687840.0,long,22055.25,22033.25,-44.0,15,0.0,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_01_24
0,00:26,1737936960.0,short,21650.0,21641.0,18.0,10,18.0,KILL_SHOT,kill_shot_peak,0,2025_01_27
1,12:20,1737979500.0,short,21032.5,21030.75,3.5,15,3.5,KILL_SHOT,kill_shot_no_progress,0,2025_01_27
0,00:30,1737936900.0,long,21654.25,21645.25,-18.0,15,2.5,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_01_27
1,12:02,1737979260.0,long,21023.5,21049.5,52.0,1,52.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_27
2,12:07,1737979380.0,long,21035.0,21042.0,14.0,4,14.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_27
3,13:13,1737983220.0,long,21105.75,21143.5,75.5,6,75.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_27
0,06:35,1738132320.0,short,21665.5,21660.25,10.5,3,10.5,KILL_SHOT,kill_shot_peak,0,2025_01_29
1,08:18,1738138620.0,long,21679.5,21678.0,-3.0,1,0.0,KILL_SHOT,kill_shot_inverse,0,2025_01_29
2,09:30,1738141200.0,long,21671.0,21648.0,-46.0,30,5.5,KILL_SHOT,kill_shot_timeout,0,2025_01_29
3,11:12,1738148520.0,long,21660.75,21658.0,-5.5,10,10.5,KILL_SHOT,kill_shot_peak,0,2025_01_29
4,21:10,1738184520.0,long,21480.75,21488.5,15.5,8,15.5,KILL_SHOT,kill_shot_peak,0,2025_01_29
0,06:42,1738132260.0,long,21672.75,21681.75,18.0,11,18.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_29
1,08:18,1738138560.0,short,21676.75,21678.0,-2.5,2,0.0,KILL_SHOT_INVERSE,kill_shot_inverse_inverse,0,2025_01_29
2,09:03,1738141140.0,short,21667.25,21653.75,27.0,4,27.0,KILL_SHOT_INVERSE,ksi_cluster_short_extension,0,2025_01_29
3,11:22,1738148460.0,short,21659.75,21652.0,15.5,21,15.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_29
4,21:03,1738184460.0,short,21471.0,21461.25,19.5,2,19.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_29
0,06:28,1738216680.0,long,21660.75,21642.0,-37.5,30,8.0,KILL_SHOT,kill_shot_timeout,0,2025_01_30
1,20:05,1738266600.0,short,21632.25,21673.5,-82.5,15,0.0,KILL_SHOT,kill_shot_no_progress,0,2025_01_30
0,06:18,1738216560.0,short,21655.75,21651.0,9.5,22,10.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_30
1,19:52,1738266540.0,long,21633.5,21642.5,18.0,3,18.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_30
0,01:06,1738285320.0,long,21697.75,21703.0,10.5,4,10.5,KILL_SHOT,kill_shot_peak,0,2025_01_31
1,10:18,1738318440.0,long,21778.25,21778.5,0.5,4,11.0,KILL_SHOT,kill_shot_peak,0,2025_01_31
0,01:16,1738285260.0,short,21696.75,21715.25,-37.0,15,0.0,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_01_31
1,10:23,1738318380.0,short,21774.5,21785.0,-21.0,10,0.0,KILL_SHOT_INVERSE,kill_shot_inverse_inverse,0,2025_01_31
2,13:51,1738331340.0,long,21798.0,21800.25,4.5,2,16.0,KILL_SHOT_INVERSE,ksi_cluster_long_extension,0,2025_01_31
3,15:37,1738337460.0,long,21910.75,21926.5,31.5,6,44.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_31
4,20:50,1738356420.0,long,21593.25,21631.25,76.0,3,76.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_31
0,23:59,1738540080.0,short,21093.75,21113.25,-39.0,11,2.0,KILL_SHOT,end_of_day,0,2025_02_02
0,23:55,1738539960.0,long,21114.25,21125.75,23.0,9,23.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_02_02
0,04:03,1738555320.0,short,21038.5,21035.0,7.0,1,7.0,KILL_SHOT,kill_shot_inverse,0,2025_02_03
1,14:30,1738592880.0,long,21201.5,21206.0,9.0,2,27.5,KILL_SHOT,kill_shot_peak,0,2025_02_03
2,18:45,1738608240.0,long,21416.5,21429.0,25.0,1,25.0,KILL_SHOT,kill_shot_peak,0,2025_02_03
0,04:03,1738555260.0,long,21049.25,21035.0,-28.5,2,0.0,KILL_SHOT_INVERSE,kill_shot_inverse_inverse,0,2025_02_03
1,05:47,1738561260.0,long,21030.75,21040.5,19.5,6,19.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_02_03
2,14:41,1738592760.0,short,21188.75,21275.0,-172.5,15,1.5,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_02_03
3,18:58,1738608180.0,short,21405.5,21466.75,-122.5,15,0.0,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_02_03
0,14:29,1738679280.0,short,21428.75,21421.5,14.5,1,14.5,KILL_SHOT,kill_shot_peak,0,2025_02_04
0,12:50,1738673160.0,short,21453.75,21442.5,22.5,4,22.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_02_04
1,14:32,1738679220.0,long,21437.25,21450.0,25.5,5,25.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_02_04
2,14:35,1738679580.0,long,21449.0,21469.0,40.0,2,40.0,KILL_SHOT_INVERSE,ksi_cluster_long_extension,0,2025_02_04
3,23:52,1738712220.0,short,21578.25,21573.25,10.0,15,10.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_02_04
0,01:35,1738719060.0,short,21589.0,21585.25,7.5,4,12.5,KILL_SHOT_INVERSE,ksi_cluster_short_extension,0,2025_02_05
1,08:25,1738743720.0,long,21519.0,21531.0,24.0,3,25.5,KILL_SHOT_INVERSE,ksi_cluster_long_extension,0,2025_02_05
2,11:05,1738752960.0,long,21475.75,21481.0,10.5,9,10.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_02_05
0,17:00,1738947540.0,short,21629.25,21614.25,30.0,1,30.0,KILL_SHOT,kill_shot_peak,0,2025_02_07
0,12:54,1738932780.0,short,21871.0,21867.25,7.5,1,7.5,KILL_SHOT_INVERSE,kill_shot_inverse_inverse,0,2025_02_07
1,17:11,1738947480.0,long,21642.5,21654.75,24.5,13,47.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_02_07
0,06:22,1739253900.0,long,21783.75,21777.25,-13.0,17,0.0,KILL_SHOT,kill_shot_no_progress,0,2025_02_11
1,07:40,1739258645.0,long,21768.5,21757.75,-21.5,15,2.0,KILL_SHOT,kill_shot_no_progress,0,2025_02_11
0,03:28,1739244240.0,long,21767.75,21773.75,12.0,4,12.0,KILL_SHOT_INVERSE,ksi_cluster_long_extension,0,2025_02_11
1,06:12,1739253840.0,short,21782.75,21781.0,3.5,8,5.0,KILL_SHOT_INVERSE,ksi_cluster_short_extension,0,2025_02_11
2,07:32,1739258520.0,short,21767.5,21760.0,15.0,10,15.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_02_11
3,07:34,1739259180.0,short,21763.25,21758.25,10.0,1,10.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_02_11
4,18:27,1739297520.0,short,21762.0,21770.5,-17.0,15,4.5,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_02_11
0,06:10,1739340245.0,short,21778.0,21771.25,13.5,5,13.5,KILL_SHOT,kill_shot_peak,0,2025_02_12
1,10:39,1739355840.0,short,21774.0,21774.75,-1.5,15,1.5,KILL_SHOT,kill_shot_no_progress,0,2025_02_12
2,17:50,1739381640.0,long,21781.5,21787.75,12.5,16,20.5,KILL_SHOT,kill_shot_peak,0,2025_02_12
