bar,date,direction,pnl_ticks,pnl_dollars,reason,confidence,sight,month
1169,2026-03-25,long,88.0,44.0,1m_disagree=0.26,0.9207518100738525,0,2026-03
1175,2026-03-25,long,16.0,8.0,1m_flipped_confirmed n+1=0.47,0.06815111637115479,0,2026-03
1183,2026-03-25,short,-88.0,-44.0,structural_flip bias=long,0.0,0,2026-03
1185,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1195,2026-03-25,long,-80.0,-40.0,1m_sight=0,0.0953378677368164,0,2026-03
1197,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1199,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1201,2026-03-25,long,-148.0,-74.0,1m_disagree=0.23,0.9581155776977539,0,2026-03
1203,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1205,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1211,2026-03-25,long,72.0,36.0,1m_disagree=0.23,0.9756019115447998,0,2026-03
1213,2026-03-25,long,-12.0,-6.0,1m_disagree=0.27,0.8898051977157593,0,2026-03
1216,2026-03-25,long,48.0,24.0,1m_disagree=0.27,0.8937320709228516,0,2026-03
1220,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1226,2026-03-25,short,12.0,6.0,structural_flip bias=long,0.0,0,2026-03
1228,2026-03-25,short,-12.0,-6.0,structural_flip bias=long,0.0,0,2026-03
1234,2026-03-25,short,-120.0,-60.0,structural_flip bias=long,0.0,0,2026-03
1239,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1241,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1253,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1256,2026-03-25,long,432.0,216.0,1m_disagree=0.20,0.9785915613174438,0,2026-03
1259,2026-03-25,long,-16.0,-8.0,1m_disagree=0.25,0.9170639514923096,0,2026-03
1261,2026-03-25,long,-68.0,-34.0,1m_disagree=0.25,0.7024997472763062,0,2026-03
1266,2026-03-25,long,60.0,30.0,1m_disagree=0.24,0.9530191421508789,0,2026-03
1268,2026-03-25,long,12.0,6.0,1m_disagree=0.24,0.9517847299575806,0,2026-03
1271,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1273,2026-03-25,long,176.0,88.0,1m_disagree=0.21,0.9795398712158203,0,2026-03
1276,2026-03-25,long,140.0,70.0,1m_disagree=0.23,0.9690687656402588,0,2026-03
1278,2026-03-25,long,-40.0,-20.0,1m_disagree=0.27,0.7971401214599609,0,2026-03
1281,2026-03-25,long,-8.0,-4.0,1m_disagree=0.22,0.5966614484786987,0,2026-03
1285,2026-03-25,long,68.0,34.0,1m_disagree=0.26,0.9298619031906128,0,2026-03
1287,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1298,2026-03-25,long,92.0,46.0,1m_disagree=0.22,0.9730761051177979,0,2026-03
1300,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1304,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1308,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1314,2026-03-25,long,48.0,24.0,1m_disagree=0.27,0.9241952896118164,0,2026-03
1316,2026-03-25,long,72.0,36.0,1m_disagree=0.28,0.8805034160614014,0,2026-03
1318,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1320,2026-03-25,long,-48.0,-24.0,1m_disagree=0.27,0.8890812397003174,0,2026-03
1322,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1324,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1326,2026-03-25,long,108.0,54.0,1m_disagree=0.22,0.9739041328430176,0,2026-03
1330,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1332,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1334,2026-03-25,long,-32.0,-16.0,1m_disagree=0.27,0.8041588068008423,0,2026-03
1337,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1355,2026-03-25,long,56.0,28.0,1m_disagree=0.25,0.8427226543426514,0,2026-03
1357,2026-03-25,long,4.0,2.0,1m_disagree=0.25,0.8069807291030884,0,2026-03
1359,2026-03-25,long,-108.0,-54.0,1m_disagree=0.20,0.5562376976013184,0,2026-03
1361,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1364,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1367,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1373,2026-03-25,short,16.0,8.0,structural_flip bias=long,0.0,0,2026-03
1376,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1380,2026-03-25,short,0.0,0.0,structural_flip bias=long,0.0,0,2026-03
1386,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1388,2026-03-25,short,116.0,58.0,structural_flip bias=long,0.0,0,2026-03
1391,2026-03-25,short,104.0,52.0,structural_flip bias=long,0.0,0,2026-03
1393,2026-03-25,short,260.0,130.0,structural_flip bias=long,0.0,0,2026-03
1395,2026-03-25,short,228.0,114.0,structural_flip bias=long,0.0,0,2026-03
1397,2026-03-25,short,452.0,226.0,structural_flip bias=long,0.0,0,2026-03
1399,2026-03-25,short,-32.0,-16.0,structural_flip bias=long,0.0,0,2026-03
1402,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1404,2026-03-25,short,72.0,36.0,structural_flip bias=long,0.0,0,2026-03
1410,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1416,2026-03-25,short,-28.0,-14.0,structural_flip bias=long,0.0,0,2026-03
1421,2026-03-25,long,-8.0,-4.0,1m_flipped_confirmed n+1=0.40,0.1907029151916504,0,2026-03
1432,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1444,2026-03-25,short,-108.0,-54.0,structural_flip bias=long,0.0,0,2026-03
1453,2026-03-25,short,288.0,144.0,structural_flip bias=long,0.0,0,2026-03
1455,2026-03-25,short,184.0,92.0,structural_flip bias=long,0.0,0,2026-03
1459,2026-03-25,short,-4.0,-2.0,structural_flip bias=long,0.0,0,2026-03
1461,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1463,2026-03-25,short,-8.0,-4.0,structural_flip bias=long,0.0,0,2026-03
1466,2026-03-25,short,80.0,40.0,structural_flip bias=long,0.0,0,2026-03
1468,2026-03-25,short,64.0,32.0,structural_flip bias=long,0.0,0,2026-03
1471,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1473,2026-03-25,long,48.0,24.0,1m_disagree=0.20,0.6025857925415039,0,2026-03
1475,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1480,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1486,2026-03-25,long,-60.0,-30.0,1m_inflection,0.23853492736816406,0,2026-03
1503,2026-03-25,short,-12.0,-6.0,structural_flip bias=long,0.0,0,2026-03
1506,2026-03-25,short,40.0,20.0,structural_flip bias=long,0.0,0,2026-03
1509,2026-03-25,short,80.0,40.0,structural_flip bias=long,0.0,0,2026-03
1511,2026-03-25,short,28.0,14.0,structural_flip bias=long,0.0,0,2026-03
1513,2026-03-25,short,112.0,56.0,structural_flip bias=long,0.0,0,2026-03
1517,2026-03-25,short,-64.0,-32.0,structural_flip bias=long,0.0,0,2026-03
1520,2026-03-25,short,-44.0,-22.0,structural_flip bias=long,0.0,0,2026-03
1530,2026-03-25,short,-48.0,-24.0,structural_flip bias=long,0.0,0,2026-03
1532,2026-03-25,short,-16.0,-8.0,structural_flip bias=long,0.0,0,2026-03
1543,2026-03-25,long,-4.0,-2.0,1m_disagree=0.23,0.786507248878479,0,2026-03
1546,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1550,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1553,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1557,2026-03-25,long,-20.0,-10.0,1m_disagree=0.25,0.9520682096481323,0,2026-03
1559,2026-03-25,long,36.0,18.0,1m_disagree=0.25,0.9597909450531006,0,2026-03
1589,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1597,2026-03-25,long,-64.0,-32.0,1m_flipped_confirmed n+1=0.46,0.07565176486968994,0,2026-03
1602,2026-03-25,short,28.0,14.0,structural_flip bias=long,0.0,0,2026-03
1607,2026-03-25,short,-68.0,-34.0,structural_flip bias=long,0.0,0,2026-03
1609,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1611,2026-03-25,short,-24.0,-12.0,structural_flip bias=long,0.0,0,2026-03
1613,2026-03-25,short,12.0,6.0,structural_flip bias=long,0.0,0,2026-03
1616,2026-03-25,short,76.0,38.0,structural_flip bias=long,0.0,0,2026-03
1620,2026-03-25,short,36.0,18.0,structural_flip bias=long,0.0,0,2026-03
1622,2026-03-25,short,-8.0,-4.0,structural_flip bias=long,0.0,0,2026-03
1624,2026-03-25,short,-20.0,-10.0,structural_flip bias=long,0.0,0,2026-03
1626,2026-03-25,short,-20.0,-10.0,structural_flip bias=long,0.0,0,2026-03
1631,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1633,2026-03-25,short,-52.0,-26.0,structural_flip bias=long,0.0,0,2026-03
1640,2026-03-25,short,-24.0,-12.0,structural_flip bias=long,0.0,0,2026-03
1645,2026-03-25,short,-72.0,-36.0,structural_flip bias=long,0.0,0,2026-03
1652,2026-03-25,long,-12.0,-6.0,1m_disagree=0.21,0.6557357311248779,0,2026-03
1654,2026-03-25,long,0.0,0.0,1m_disagree=0.20,0.6405012607574463,0,2026-03
1665,2026-03-25,short,-40.0,-20.0,structural_flip bias=long,0.0,0,2026-03
1667,2026-03-25,short,-4.0,-2.0,structural_flip bias=long,0.0,0,2026-03
1670,2026-03-25,short,32.0,16.0,structural_flip bias=long,0.0,0,2026-03
1672,2026-03-25,short,76.0,38.0,structural_flip bias=long,0.0,0,2026-03
1680,2026-03-25,long,188.0,94.0,1m_disagree=0.20,0.9703385829925537,0,2026-03
1682,2026-03-25,long,-92.0,-46.0,1m_disagree=0.25,0.8665443658828735,0,2026-03
1684,2026-03-25,long,52.0,26.0,1m_disagree=0.22,0.9516746997833252,0,2026-03
1687,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1689,2026-03-25,long,20.0,10.0,1m_disagree=0.25,0.7609429359436035,0,2026-03
1693,2026-03-25,long,-84.0,-42.0,1m_disagree=0.23,0.6409053802490234,0,2026-03
1695,2026-03-25,long,8.0,4.0,1m_disagree=0.21,0.9773406982421875,0,2026-03
1697,2026-03-25,long,28.0,14.0,1m_disagree=0.26,0.8814684152603149,0,2026-03
1702,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1707,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1709,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1711,2026-03-25,long,-20.0,-10.0,1m_disagree=0.21,0.9749401807785034,0,2026-03
1713,2026-03-25,long,-40.0,-20.0,1m_disagree=0.23,0.9638371467590332,0,2026-03
1715,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1718,2026-03-25,long,-76.0,-38.0,1m_disagree=0.22,0.9709961414337158,0,2026-03
1724,2026-03-25,long,-4.0,-2.0,1m_disagree=0.22,0.9723957777023315,0,2026-03
1732,2026-03-25,long,72.0,36.0,1m_disagree=0.23,0.9455733299255371,0,2026-03
1734,2026-03-25,long,-24.0,-12.0,1m_disagree=0.25,0.8341021537780762,0,2026-03
1741,2026-03-25,long,-92.0,-46.0,1m_flipped_confirmed n+1=0.46,0.07306671142578125,0,2026-03
1743,2026-03-25,long,-48.0,-24.0,1m_inflection,0.27098751068115234,0,2026-03
1749,2026-03-25,long,96.0,48.0,1m_disagree=0.24,0.9432481527328491,0,2026-03
1751,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1754,2026-03-25,long,88.0,44.0,1m_disagree=0.22,0.9765845537185669,0,2026-03
1756,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1763,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1765,2026-03-25,long,20.0,10.0,1m_disagree=0.26,0.8858160972595215,0,2026-03
1773,2026-03-25,long,188.0,94.0,1m_disagree=0.20,0.9814825057983398,0,2026-03
1776,2026-03-25,long,60.0,30.0,1m_disagree=0.22,0.9759011268615723,0,2026-03
1778,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1781,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1789,2026-03-25,long,36.0,18.0,1m_disagree=0.26,0.9124178886413574,0,2026-03
1792,2026-03-25,long,44.0,22.0,1m_disagree=0.25,0.8962409496307373,0,2026-03
1797,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1800,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1802,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1804,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1807,2026-03-25,short,168.0,84.0,structural_flip bias=long,0.0,0,2026-03
1810,2026-03-25,short,-28.0,-14.0,structural_flip bias=long,0.0,0,2026-03
1813,2026-03-25,short,28.0,14.0,structural_flip bias=long,0.0,0,2026-03
1816,2026-03-25,short,-96.0,-48.0,structural_flip bias=long,0.0,0,2026-03
1821,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1827,2026-03-25,long,20.0,10.0,1m_disagree=0.22,0.962661862373352,0,2026-03
1829,2026-03-25,long,32.0,16.0,1m_disagree=0.24,0.9359804391860962,0,2026-03
1833,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1835,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1840,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1846,2026-03-25,long,-40.0,-20.0,1m_disagree=0.24,0.7001330852508545,0,2026-03
1848,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1853,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1855,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1857,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1859,2026-03-25,short,292.0,146.0,structural_flip bias=long,0.0,0,2026-03
1862,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1867,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1876,2026-03-25,short,400.0,200.0,structural_flip bias=long,0.0,0,2026-03
1878,2026-03-25,short,108.0,54.0,structural_flip bias=long,0.0,0,2026-03
1880,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1883,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1885,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1895,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1912,2026-03-25,long,112.0,56.0,1m_disagree=0.21,0.9651490449905396,0,2026-03
1914,2026-03-25,long,-60.0,-30.0,1m_disagree=0.22,0.6539014577865601,0,2026-03
1916,2026-03-25,long,-8.0,-4.0,1m_disagree=0.24,0.6725202798843384,0,2026-03
1919,2026-03-25,long,-28.0,-14.0,1m_disagree=0.26,0.7275393009185791,0,2026-03
1921,2026-03-25,long,-84.0,-42.0,1m_flipped_confirmed n+1=0.48,0.04911935329437256,0,2026-03
1923,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1930,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1932,2026-03-25,short,76.0,38.0,structural_flip bias=long,0.0,0,2026-03
1935,2026-03-25,short,160.0,80.0,structural_flip bias=long,0.0,0,2026-03
1937,2026-03-25,short,-112.0,-56.0,structural_flip bias=long,0.0,0,2026-03
1940,2026-03-25,short,0.0,0.0,structural_flip bias=long,0.0,0,2026-03
1947,2026-03-25,short,-40.0,-20.0,structural_flip bias=long,0.0,0,2026-03
1949,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1951,2026-03-25,long,-44.0,-22.0,1m_disagree=0.24,0.9885644912719727,0,2026-03
1972,2026-03-25,long,892.0,446.0,1m_disagree=0.25,0.9024677276611328,0,2026-03
1975,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1979,2026-03-25,long,176.0,88.0,1m_sight=0,0.014091253280639648,0,2026-03
1982,2026-03-25,short,220.0,110.0,structural_flip bias=long,0.0,0,2026-03
1984,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1986,2026-03-25,short,192.0,96.0,structural_flip bias=long,0.0,0,2026-03
1988,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1990,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1992,2026-03-25,short,428.0,214.0,structural_flip bias=long,0.0,0,2026-03
1994,2026-03-25,short,320.0,160.0,structural_flip bias=long,0.0,0,2026-03
1996,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1998,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
2002,2026-03-25,short,108.0,54.0,structural_flip bias=long,0.0,0,2026-03
2004,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
2009,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
