==========================================================================================
PEAK SEQUENCE ANALYSIS — 2026-02-05
Peaks: 46 (from 136 marked across all TFs)
Window: 30 bars before/after peak (1s resolution)
Bar 0 = peak moment
==========================================================================================

--- VELOCITY (n=46) ---
    +19      +0.183      +0.600       2.661
    +20      +0.013      -0.600       3.047
    +21      +0.357      +0.000       3.055
    +22      +0.213      +0.000       2.732
    +23      +0.604      +0.500       2.130
    +24      -0.561      +0.000       2.491
    +25      +0.096      +0.100       3.248
    +26      +0.078      +0.400       4.494
    +27      -0.117      +0.000       2.324
    +28      -0.452      +0.000       2.582
    +29      +0.030      -0.100       2.957
    +30      -0.539      -0.400       2.736

--- VOLUME (n=46) ---
 offset        mean      median         std
    -30     +10.130      +5.000      12.293
    -29      +7.283      +4.000       8.399
    -28      +7.000      +4.000       7.486
    -27      +9.870      +3.000      15.138
    -26      +5.717      +3.000       6.556
    -25      +8.000      +4.000      11.293
    -24      +8.065      +4.000       8.931
    -23      +7.130      +4.000      10.105
    -22     +11.130      +5.500      16.432
    -21     +12.957      +4.000      33.495
    -20     +11.957      +4.500      20.372
    -19      +6.065      +5.000       6.127
    -18      +7.522      +6.000       8.280
    -17      +7.913      +3.500      11.025
    -16     +12.804      +3.000      22.032
    -15      +9.174      +6.000       9.133
    -14      +4.696      +3.000       5.830
    -13      +9.913      +4.000      21.773
    -12     +10.087      +4.000      12.012
    -11      +8.217      +5.000       8.703
    -10      +9.761      +6.500       9.578
     -9      +8.783      +3.000      10.978
     -8      +8.500      +6.000       7.228
     -7      +8.283      +4.000      10.576
     -6      +7.609      +3.000      11.840
     -5      +7.217      +4.000      10.350
     -4     +11.717      +5.500      15.234
     -3      +7.957      +4.000       8.964
     -2      +8.522      +3.500      16.197
     -1     +12.348      +4.000      18.441
     +0     +51.130     +19.000      97.715  <-- PEAK
     +1     +32.848     +15.000      60.660
     +2     +28.370     +12.000      50.938
     +3     +22.370     +11.000      35.523
     +4     +19.304      +6.500      36.339
     +5     +18.174      +5.000      32.253
     +6     +18.957      +8.000      32.510
     +7     +16.022      +6.000      27.843
     +8     +14.457      +5.500      25.462
     +9     +15.087      +7.000      23.388
    +10     +17.304      +6.000      28.114
    +11     +18.043      +7.500      30.033
    +12     +17.152      +4.000      25.798
    +13     +14.804      +6.000      20.591
    +14     +13.152      +5.000      26.333
    +15     +17.913      +3.000      40.313
    +16     +18.696      +4.500      29.847
    +17     +14.457      +3.000      20.679
    +18     +14.457      +5.000      21.350
    +19     +16.196      +5.000      29.031
    +20     +22.848      +5.000      41.594
    +21     +12.478      +4.000      24.963
    +22     +11.717      +5.000      16.135
    +23     +11.261      +4.500      15.118
    +24     +17.500      +4.000      50.006
    +25     +16.239      +4.000      31.037
    +26     +17.652      +4.500      44.092
    +27     +13.174      +4.000      30.716
    +28     +16.413      +7.000      25.081
    +29     +18.109      +9.500      29.745
    +30     +11.261      +4.000      19.487

--- VOL_DELTA (n=46) ---
 offset        mean      median         std
    -30      +0.087      +0.000      15.907
    -29      -1.587      -1.000      11.001
    -28      -2.261      -0.500       9.973
    -27      +4.609      +1.500      17.472
    -26      -1.000      +0.500       8.382
    -25      +0.500      +2.000      13.810
    -24      +2.087      +1.000      11.285
    -23      -0.913      -0.500      12.300
    -22      +3.978      -2.000      19.350
    -21      +6.522      +0.000      35.305
    -20      +5.674      +0.000      21.520
    -19      +0.957      +0.500       8.346
    -18      +1.152      +2.000      11.077
    -17      +2.283      -1.000      13.377
    -16      +4.978      +1.000      24.947
    -15      -0.522      +0.000      12.238
    -14      +1.304      +1.000       7.345
    -13      -5.370      -1.000      23.088
    -12      -2.043      -1.000      15.549
    -11      +0.000      +1.000      11.969
    -10      -5.326      -3.000      12.582
     -9      +1.587      +0.000      13.680
     -8      -0.261      -0.500      10.914
     -7      +4.196      +0.000      12.555
     -6      -0.109      +0.500      14.070
     -5      -2.478      -1.000      12.371
     -4      +4.174      +1.000      18.746
     -3      +0.870      -0.500      11.950
     -2      -3.457      +0.000      17.417
     -1      -2.261      -2.500      22.077
     +0     -17.391      +2.000     108.904  <-- PEAK
     +1      +3.087      -4.000      68.913
     +2      +9.000      +4.000      57.605
     +3      +0.022      -1.000      41.956
     +4      +1.935      +2.500      41.071
     +5     -10.543      +0.000      35.486
     +6      +0.522      -2.000      20.728
     +7      +5.652      +1.500      31.619
     +8      +6.326      +0.500      27.975
     +9      -5.630      +2.000      27.174
    +10      +8.174      +0.500      31.905
    +11      +1.543      +1.000      35.001
    +12      -2.478      +1.000      30.876
    +13      +1.087      -0.500      22.932
    +14      -4.717      +0.000      28.262
    +15      +3.739      +1.000      43.920
    +16      -4.391      -1.000      34.943
    +17      -1.717      -1.000      25.173
    +18      -4.913      +0.500      22.909
    +19      +3.304      -1.500      33.076
    +20      +1.891      +1.000      47.418
    +21      -5.804      -0.500      27.294
    +22      +0.022      +3.000      19.923
    +23      -4.022      -1.000      18.032
    +24      -9.391      +0.500      52.135
    +25      -1.935      +2.500      34.952
    +26     -10.913      +1.000      45.766
    +27      -4.239      +1.000      33.152
    +28      +1.326      -1.000      29.932
    +29      -8.413      -1.000      33.791
    +30      -0.804      +2.000      22.471

--- VOL_RATIO (n=46) ---
 offset        mean      median         std
    -30      +1.210      +0.915       1.188
    -29      +0.734      +0.652       0.440
    -28      +0.878      +0.563       0.848
    -27      +0.944      +0.685       1.038
    -26      +0.676      +0.437       0.549
    -25      +1.023      +0.759       1.017
    -24      +1.101      +0.658       1.521
    -23      +1.106      +0.672       2.435
    -22      +1.244      +0.723       1.051
    -21      +1.978      +0.674       8.052
    -20      +1.129      +1.063       1.020
    -19      +0.888      +0.494       1.511
    -18      +1.016      +0.722       1.100
    -17      +1.031      +0.732       1.838
    -16      +1.185      +0.545       1.446
    -15      +1.239      +0.796       1.316
    -14      +0.531      +0.358       0.395
    -13      +1.577      +0.463       4.127
    -12      +1.153      +0.820       1.143
    -11      +1.075      +0.753       1.152
    -10      +1.224      +0.865       1.020
     -9      +0.902      +0.679       0.903
     -8      +1.269      +0.876       1.527
     -7      +0.856      +0.662       0.704
     -6      +0.831      +0.446       0.817
     -5      +0.765      +0.544       0.626
     -4      +1.875      +0.814       3.196
     -3      +1.092      +0.706       1.496
     -2      +0.777      +0.515       0.680
     -1      +1.218      +0.793       1.160
     +0      +4.261      +2.713       5.140  <-- PEAK
     +1      +3.393      +1.661       6.190
     +2      +2.185      +1.372       1.839
     +3      +1.877      +1.610       1.796
     +4      +1.276      +1.060       1.078
     +5      +1.114      +0.854       0.959
     +6      +1.907      +0.797       2.509
     +7      +1.042      +0.745       0.810
     +8      +0.994      +0.863       0.849
     +9      +1.288      +1.046       1.025
    +10      +1.334      +1.022       1.759
    +11      +1.309      +0.895       1.293
    +12      +1.305      +0.648       1.410
    +13      +1.185      +0.936       1.144
    +14      +0.873      +0.677       0.635
    +15      +1.015      +0.517       1.470
    +16      +1.314      +0.695       1.578
    +17      +0.932      +0.555       0.835
    +18      +1.155      +0.623       1.793
    +19      +1.376      +0.681       2.316
    +20      +2.144      +0.754       5.115
    +21      +0.879      +0.462       0.935
    +22      +0.951      +0.743       0.852
    +23      +0.952      +0.636       1.111
    +24      +1.115      +0.589       1.481
    +25      +1.135      +0.676       1.272
    +26      +0.980      +0.600       1.323
    +27      +0.718      +0.522       0.524
    +28      +1.205      +0.699       1.375
    +29      +1.691      +0.781       2.453
    +30      +0.704      +0.612       0.347

--- STD_PRICE (n=46) ---
 offset        mean      median         std
    -30      +7.547      +7.159       2.581
    -29      +7.714      +7.159       2.841
    -28      +7.745      +7.026       3.018
    -27      +7.604      +7.016       2.873
    -26      +7.575      +7.106       2.686
    -25      +7.639      +7.048       2.759
    -24      +7.536      +6.916       2.703
    -23      +7.515      +6.721       2.842
    -22      +7.491      +6.864       2.792
    -21      +7.410      +6.912       2.776
    -20      +7.527      +6.770       3.122
    -19      +7.425      +6.624       3.100
    -18      +7.424      +6.734       3.052
    -17      +7.229      +6.366       3.018
    -16      +7.272      +6.552       3.002
    -15      +7.224      +6.250       3.038
    -14      +7.297      +6.574       3.006
    -13      +7.313      +6.460       3.063
    -12      +7.557      +6.539       3.359
    -11      +7.440      +6.517       3.218
    -10      +7.511      +6.651       3.181
     -9      +7.395      +6.843       2.991
     -8      +7.283      +6.951       2.907
     -7      +7.298      +6.946       2.976
     -6      +7.318      +6.924       2.969
     -5      +7.329      +6.820       3.079
     -4      +7.256      +6.693       3.018
     -3      +7.334      +6.792       2.879
     -2      +7.379      +6.855       2.883
     -1      +7.309      +6.885       3.002
     +0      +7.231      +7.081       2.648  <-- PEAK
     +1      +8.147      +7.843       2.962
     +2      +8.587      +8.089       3.219
     +3      +8.878      +8.653       3.404
     +4      +9.312      +8.623       4.296
     +5      +9.856      +9.348       4.632
     +6      +9.946      +9.454       4.741
     +7     +10.154      +9.633       4.759
     +8     +10.056      +9.514       4.664
     +9     +10.013      +9.279       4.733
    +10     +10.062      +9.103       4.854
    +11     +10.061      +9.474       4.858
    +12     +10.350      +9.556       4.935
    +13     +10.473      +9.717       4.949
    +14     +10.554      +9.941       4.995
    +15     +10.563     +10.000       5.024
    +16     +10.615      +9.900       5.011
    +17     +10.754      +9.728       5.042
    +18     +10.710      +9.571       5.016
    +19     +10.834      +9.732       5.011
    +20     +10.776      +9.722       5.009
    +21     +10.390      +9.148       4.821
    +22     +10.138      +8.869       4.832
    +23      +9.922      +8.538       4.747
    +24      +9.472      +8.594       4.019
    +25      +9.171      +8.218       3.827
    +26      +9.325      +8.572       4.053
    +27      +9.107      +7.697       4.010
    +28      +9.013      +7.732       3.818
    +29      +9.240      +8.422       3.835
    +30      +9.441      +8.872       3.800

--- BAR_RANGE (n=46) ---
 offset        mean      median         std
    -30      +6.652      +4.000       8.751
    -29      +5.304      +3.000       7.621
    -28      +4.609      +4.000       4.173
    -27      +5.109      +4.000       6.148
    -26      +4.957      +5.000       5.103
    -25      +4.957      +3.000       5.532
    -24      +5.978      +2.000       7.499
    -23      +3.891      +2.000       5.486
    -22      +5.109      +4.500       4.806
    -21      +5.304      +2.000       9.791
    -20      +4.913      +4.000       5.492
    -19      +4.326      +3.000       5.397
    -18      +5.348      +3.000       5.873
    -17      +5.587      +4.000       7.237
    -16      +4.391      +1.000       6.067
    -15      +5.630      +4.000       6.246
    -14      +2.935      +1.000       3.903
    -13      +6.022      +2.000      12.132
    -12      +5.457      +3.000       5.702
    -11      +6.196      +4.000       7.152
    -10      +6.043      +4.500       5.564
     -9      +4.478      +3.000       5.356
     -8      +5.761      +6.000       4.966
     -7      +4.870      +3.500       5.539
     -6      +5.587      +2.500       9.185
     -5      +4.478      +3.000       4.368
     -4      +6.478      +5.000       6.348
     -3      +5.587      +5.000       5.412
     -2      +4.065      +2.500       7.511
     -1      +6.783      +3.500       7.937
     +0     +23.391     +12.000      26.035  <-- PEAK
     +1     +16.674      +9.500      15.673
     +2     +14.283     +10.500      18.268
     +3     +12.826      +9.000      17.438
     +4     +10.522      +6.500      14.351
     +5      +9.609      +4.500      12.863
     +6      +9.587      +7.000       9.479
     +7      +8.761      +6.000      10.374
     +8      +8.283      +4.500      10.539
     +9      +9.239      +6.500       9.010
    +10      +7.935      +4.000       8.234
    +11     +10.152      +7.500       9.742
    +12      +8.413      +5.000       9.254
    +13      +7.565      +5.000       8.163
    +14      +7.283      +5.000       9.226
    +15      +7.065      +3.000       9.090
    +16      +9.435      +5.500      11.393
    +17      +6.652      +4.000       7.364
    +18      +5.413      +3.000       6.371
    +19      +7.826      +6.000       8.738
    +20      +9.761      +6.000      12.852
    +21      +7.435      +4.500       9.067
    +22      +9.217      +5.000      10.063
    +23      +6.826      +5.000       8.424
    +24      +6.978      +5.000       8.407
    +25      +8.913      +6.000      12.005
    +26      +7.630      +3.500      10.158
    +27      +6.761      +5.000       8.346
    +28      +8.109      +5.500       8.135
    +29      +9.174      +6.000      10.362
    +30      +5.913      +3.000       7.223

--- WICK_RATIO (n=46) ---
 offset        mean      median         std
    -30      +0.184      +0.000       0.266
    -29      +0.212      +0.000       0.350
    -28      +0.167      +0.000       0.253
    -27      +0.250      +0.000       0.357
    -26      +0.174      +0.000       0.294
    -25      +0.197      +0.000       0.286
    -24      +0.203      +0.000       0.318
    -23      +0.137      +0.000       0.270
    -22      +0.159      +0.000       0.280
    -21      +0.118      +0.000       0.219
    -20      +0.249      +0.000       0.343
    -19      +0.281      +0.071       0.350
    -18      +0.198      +0.000       0.328
    -17      +0.145      +0.000       0.243
    -16      +0.192      +0.000       0.312
    -15      +0.202      +0.000       0.294
    -14      +0.150      +0.000       0.277
    -13      +0.155      +0.000       0.273
    -12      +0.295      +0.000       0.380
    -11      +0.266      +0.000       0.352
    -10      +0.212      +0.000       0.325
     -9      +0.234      +0.000       0.351
     -8      +0.272      +0.092       0.325
     -7      +0.200      +0.000       0.330
     -6      +0.149      +0.000       0.266
     -5      +0.170      +0.000       0.283
     -4      +0.252      +0.234       0.259
     -3      +0.162      +0.000       0.219
     -2      +0.244      +0.000       0.311
     -1      +0.244      +0.000       0.302
     +0      +0.318      +0.182       0.315  <-- PEAK
     +1      +0.421      +0.397       0.364
     +2      +0.225      +0.104       0.282
     +3      +0.240      +0.106       0.316
     +4      +0.216      +0.059       0.290
     +5      +0.269      +0.000       0.330
     +6      +0.251      +0.043       0.340
     +7      +0.260      +0.101       0.277
     +8      +0.340      +0.277       0.354
     +9      +0.234      +0.000       0.300
    +10      +0.357      +0.185       0.393
    +11      +0.193      +0.000       0.276
    +12      +0.206      +0.000       0.288
    +13      +0.218      +0.000       0.327
    +14      +0.246      +0.000       0.339
    +15      +0.194      +0.000       0.292
    +16      +0.120      +0.000       0.206
    +17      +0.221      +0.000       0.310
    +18      +0.280      +0.000       0.361
    +19      +0.198      +0.000       0.309
    +20      +0.220      +0.000       0.323
    +21      +0.108      +0.000       0.210
    +22      +0.187      +0.000       0.287
    +23      +0.170      +0.000       0.258
    +24      +0.282      +0.000       0.362
    +25      +0.134      +0.000       0.232
    +26      +0.238      +0.000       0.334
    +27      +0.181      +0.000       0.286
    +28      +0.177      +0.000       0.234
    +29      +0.234      +0.000       0.315
    +30      +0.204      +0.000       0.275

--- DP (n=46) ---
 offset        mean      median         std
    -30      -0.152      +0.000      10.355
    -29      -0.783      -1.000       8.893
    -28      -1.283      -0.500       5.098
    -27      +0.543      +1.000       6.714
    -26      +1.196      +0.500       7.270
    -25      +1.565      +2.000       7.465
    -24      +1.652      +1.000       7.727
    -23      -1.370      -0.500       6.738
    -22      -1.609      -1.500       6.371
    -21      +1.848      +0.000      12.148
    -20      +0.261      +0.000       5.383
    -19      +0.435      +0.500       7.177
    -18      +0.478      +3.000       7.445
    -17      -1.022      -1.000       8.474
    -16      +0.674      +2.000       6.165
    -15      +0.870      +0.000       7.552
    -14      +0.457      +1.000       6.839
    -13      -2.891      -1.500      12.031
    -12      -0.630      -1.500       6.850
    -11      +0.870      +1.500       9.004
    -10      -1.783      -2.000       6.782
     -9      +0.109      +0.000       6.438
     -8      -1.000      -0.500       6.643
     -7      +1.804      +0.000       7.189
     -6      +0.217      +0.500       8.392
     -5      -1.239      -2.000       5.650
     -4      +2.957      +1.000       7.899
     -3      +0.891      -0.500       7.836
     -2      -0.478      +0.000       5.999
     -1      -1.978      -2.500       9.881
     +0      +1.065      +2.000      18.949  <-- PEAK
     +1      -3.022      -4.500      14.126
     +2      +3.652      +3.000      13.204
     +3      -2.435      -3.500      18.498
     +4      +3.326      +3.000      16.304
     +5      +0.348      +0.000      10.891
     +6      -3.152      -3.500      10.933
     +7      +2.609      +3.000       9.550
     +8      +0.130      +0.500       6.835
     +9      +1.304      +1.000      10.786
    +10      +1.174      +1.000       7.622
    +11      -1.109      +1.500      13.059
    +12      +0.283      +1.000      10.331
    +13      +0.152      -0.500       9.292
    +14      -0.870      +0.000      10.261
    +15      +1.217      +1.000       6.820
    +16      -2.196      -4.000      11.752
    +17      -0.848      -1.000       7.083
    +18      +1.065      +1.000       8.247
    +19      -0.804      -1.000       9.245
    +20      +3.000      +3.000      12.985
    +21      -1.130      -0.500      10.892
    +22      +2.174      +1.500      10.059
    +23      -1.739      -1.500       8.821
    +24      -0.326      +0.500      10.185
    +25      +3.391      +3.500      13.023
    +26      -1.717      +1.000       8.013
    +27      -0.087      +2.000       7.018
    +28      -1.587      -2.000      10.989
    +29      -3.022      -1.000      11.840
    +30      +1.196      +2.000       7.703

--- DMI_DIFF (n=46) ---
 offset        mean      median         std
    -30      -0.047      +0.429       1.940
    -29      -0.138      +0.143       1.719
    -28      -0.121      +0.000       1.636
    -27      -0.298      -0.179       1.503
    -26      -0.207      +0.000       1.425
    -25      -0.076      +0.000       1.501
    -24      +0.115      -0.071       1.304
    -23      +0.006      +0.071       1.472
    -22      +0.068      -0.036       1.798
    -21      +0.071      -0.214       1.875
    -20      +0.158      +0.214       1.872
    -19      +0.250      +0.036       1.750
    -18      +0.301      -0.143       1.599
    -17      +0.120      -0.036       1.365
    -16      +0.258      -0.107       1.336
    -15      +0.312      +0.250       1.435
    -14      +0.481      +0.393       1.271
    -13      +0.526      +0.321       1.441
    -12      +0.416      +0.643       1.864
    -11      +0.248      +0.286       2.213
    -10      +0.113      +0.000       2.449
     -9      +0.081      +0.143       2.489
     -8      +0.127      -0.036       2.762
     -7      +0.197      +0.250       2.746
     -6      +0.158      +0.464       2.597
     -5      +0.152      +0.000       2.409
     -4      +0.008      -0.179       2.215
     -3      +0.200      -0.179       2.280
     -2      +0.304      +0.071       2.214
     -1      +0.331      +0.286       2.067
     +0      +0.059      -0.286       2.184  <-- PEAK
     +1      -0.180      -0.214       3.329
     +2      -0.084      +0.000       3.290
     +3      +0.241      +0.500       3.133
     +4      -0.020      +0.000       3.201
     +5      +0.290      +0.214       3.005
     +6      +0.455      +0.357       3.455
     +7      +0.217      -0.036       3.305
     +8      +0.269      +0.357       3.323
     +9      +0.311      -0.071       3.402
    +10      +0.508      +0.536       3.546
    +11      +0.354      +0.571       3.502
    +12      +0.214      +0.179       3.757
    +13      +0.152      +0.357       3.735
    +14      +0.283      +0.214       3.638
    +15      +0.460      +0.607       3.437
    +16      +0.536      +0.714       3.394
    +17      +0.314      +0.536       3.776
    +18      +0.323      +0.500       3.744
    +19      +0.146      +0.143       3.171
    +20      -0.112      -0.179       2.854
    +21      +0.256      +0.214       3.147
    +22      +0.224      -0.321       3.279
    +23      +0.193      -0.214       3.473
    +24      +0.033      +0.036       3.213
    +25      -0.073      -0.036       3.326
    +26      +0.175      +0.571       3.268
    +27      +0.182      +0.393       3.357
    +28      +0.092      +0.429       3.516
    +29      +0.059      +0.393       3.159
    +30      -0.238      -0.107       2.826

--- DMI_RATIO (n=46) ---
 offset        mean      median         std
    -30      +0.279      +0.257       0.201
    -29      +0.256      +0.203       0.173
    -28      +0.243      +0.253       0.199
    -27      +0.236      +0.200       0.187
    -26      +0.227      +0.196       0.192
    -25      +0.224      +0.179       0.183
    -24      +0.192      +0.151       0.158
    -23      +0.250      +0.226       0.172
    -22      +0.299      +0.314       0.188
    -21      +0.294      +0.263       0.221
    -20      +0.299      +0.299       0.196
    -19      +0.269      +0.261       0.198
    -18      +0.236      +0.183       0.198
    -17      +0.225      +0.211       0.191
    -16      +0.216      +0.179       0.176
    -15      +0.227      +0.217       0.165
    -14      +0.198      +0.181       0.162
    -13      +0.226      +0.236       0.173
    -12      +0.267      +0.200       0.184
    -11      +0.266      +0.156       0.222
    -10      +0.271      +0.155       0.261
     -9      +0.300      +0.235       0.220
     -8      +0.342      +0.357       0.228
     -7      +0.360      +0.341       0.239
     -6      +0.355      +0.333       0.230
     -5      +0.331      +0.289       0.246
     -4      +0.308      +0.288       0.207
     -3      +0.337      +0.290       0.213
     -2      +0.336      +0.281       0.231
     -1      +0.325      +0.285       0.224
     +0      +0.324      +0.343       0.207  <-- PEAK
     +1      +0.347      +0.285       0.230
     +2      +0.334      +0.327       0.229
     +3      +0.370      +0.362       0.214
     +4      +0.373      +0.393       0.212
     +5      +0.336      +0.333       0.212
     +6      +0.365      +0.317       0.218
     +7      +0.339      +0.302       0.211
     +8      +0.326      +0.339       0.203
     +9      +0.313      +0.256       0.224
    +10      +0.326      +0.303       0.227
    +11      +0.330      +0.277       0.229
    +12      +0.327      +0.264       0.233
    +13      +0.321      +0.301       0.223
    +14      +0.304      +0.283       0.251
    +15      +0.317      +0.265       0.233
    +16      +0.325      +0.264       0.244
    +17      +0.359      +0.302       0.226
    +18      +0.381      +0.333       0.217
    +19      +0.356      +0.323       0.199
    +20      +0.337      +0.314       0.197
    +21      +0.369      +0.409       0.230
    +22      +0.364      +0.370       0.232
    +23      +0.390      +0.338       0.246
    +24      +0.361      +0.341       0.233
    +25      +0.369      +0.427       0.217
    +26      +0.381      +0.409       0.225
    +27      +0.397      +0.421       0.231
    +28      +0.396      +0.365       0.262
    +29      +0.365      +0.352       0.263
    +30      +0.284      +0.182       0.218

==========================================================================================
SUMMARY: BEFORE vs AT vs AFTER peak (mean values)
==========================================================================================
Feature         Before(-30:-10)  Approach(-10:-1)   AT PEAK(0)   After(+1:+10)   After(+10:+30)
------------------------------------------------------------------------------------------
velocity                 +0.067            -0.062       +0.030          +0.137           +0.115
volume                   +8.782            +9.070      +51.130         +20.289          +15.676
vol_delta                +1.022            -0.307      -17.391          +1.854           -2.541
vol_ratio                +1.086            +1.081       +4.261          +1.641           +1.147
std_price                +7.474            +7.341       +7.231          +9.501          +10.046
bar_range                +5.134            +5.413      +23.391         +10.772           +7.826
dp                       +0.055            -0.050       +1.065          +0.393           -0.148
dmi_diff                 +0.122            +0.167       +0.059          +0.201           +0.179
dmi_ratio                +0.246            +0.326       +0.324          +0.343           +0.352
