================================================================================
PEAK EXIT SENSOR FUSION ANALYSIS
15s peak state + 1m volume + 1s velocity
Generated: 2026-03-18 15:37
================================================================================

  Trades: 500 (376 W, 124 L)

  SENSOR FUSION (vel_1s agrees with trade AND vol_1m against trade):
    bar +0: WIN both_bad= 23.7%  LOSS both_bad= 27.4%  sep= +3.7pp
    bar +1: WIN both_bad= 20.5%  LOSS both_bad= 20.2%  sep= -0.3pp
    bar +2: WIN both_bad= 16.8%  LOSS both_bad= 25.7%  sep= +8.8pp
    bar +3: WIN both_bad= 17.4%  LOSS both_bad= 25.8%  sep= +8.4pp
    bar +4: WIN both_bad= 13.4%  LOSS both_bad= 47.1%  sep=+33.8pp
    bar +5: WIN both_bad= 17.8%  LOSS both_bad= 39.5%  sep=+21.8pp
    bar +6: WIN both_bad= 17.1%  LOSS both_bad= 35.7%  sep=+18.6pp
    bar +7: WIN both_bad=  8.9%  LOSS both_bad= 47.8%  sep=+38.9pp
    bar +8: WIN both_bad= 15.9%  LOSS both_bad= 44.4%  sep=+28.5pp
    bar +9: WIN both_bad= 12.9%  LOSS both_bad= 43.8%  sep=+30.8pp
    bar +10: WIN both_bad= 17.4%  LOSS both_bad= 61.5%  sep=+44.1pp

  P_at_center BY BAR OFFSET:
   Off |     W mean      W std |     L mean      L std |      Sep
     0 |      -0.31      14.07 |      -0.60      13.74 |    +0.29
     1 |      -0.31      14.07 |      -0.60      13.74 |    +0.29
     2 |      +1.37      13.28 |      -0.01      13.93 |    +1.38
     3 |      +0.76      13.38 |      -0.53      14.02 |    +1.29
     4 |      +1.02      13.22 |      +0.47      13.69 |    +0.55
     5 |      -0.99      12.89 |      -0.96      13.05 |    -0.03
     6 |      -0.26      12.32 |      +3.95      12.59 |    -4.21
     7 |      -0.07      12.26 |      +2.63      12.00 |    -2.70
     8 |      -1.00      11.81 |      +2.75      13.35 |    -3.75
     9 |      -1.60      12.38 |      +3.55      13.77 |    -5.15
    10 |      -0.45      12.89 |      +4.82      14.19 |    -5.27

  F_momentum 1m BY BAR OFFSET:
   Off |     W mean      W std |     L mean      L std |      Sep
  ---- | ---------- ---------- | ---------- ---------- | --------
     0 |     -68.64    2052.02 |     +65.74     869.85 |  -134.39
     1 |     -68.64    2052.02 |     +65.74     869.85 |  -134.39
     2 |     -91.88    1957.38 |     +67.50     908.60 |  -159.37
     3 |     +22.41    1892.34 |     +88.97     959.99 |   -66.56
     4 |    -145.19    1069.93 |     +77.38    1203.88 |  -222.57
     5 |     -74.36    1053.57 |     +32.06     442.90 |  -106.43
     6 |    -140.30    1128.20 |     +62.25     521.46 |  -202.55
     7 |    -211.55    1162.07 |    +116.70     560.71 |  -328.25
