p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width
-189.55,-41.75,30.5,86.5,103.7,LONG,LONG,122.5,0.6444444444444445,128.25
-171.6,-60.75,25.5,77.25,109.75,LONG,LONG,127.0,0.6,138.0
-193.95,-72.0,23.5,99.75,125.2,LONG,LONG,130.0,0.5555555555555556,171.75
-193.95,-86.25,11.75,77.25,108.35000000000001,LONG,LONG,150.5,0.5555555555555556,163.5
-147.8,-121.75,-0.25,79.75,116.7,SHORT,LONG,148.5,0.5111111111111111,201.5
-189.55,-123.75,-16.5,41.0,108.35000000000001,SHORT,LONG,144.5,0.5777777777777777,164.75
-173.45,-81.75,17.0,99.75,133.45000000000002,LONG,LONG,155.5,0.5555555555555556,181.5
-189.55,-81.75,-0.25,30.5,69.90000000000002,SHORT,LONG,133.0,0.5111111111111111,112.25
-137.75,-80.5,7.5,73.75,120.30000000000001,LONG,LONG,193.0,0.5333333333333333,154.25
-143.3,-60.75,25.5,97.25,127.85,LONG,LONG,182.0,0.6222222222222222,158.0
-110.45,-80.5,-3.75,58.25,83.5,SHORT,LONG,57.25,0.5111111111111111,138.75
-187.95,-100.5,-48.0,22.25,73.75000000000003,SHORT,SHORT,-49.5,0.6444444444444444,122.75
-150.0,-78.0,7.0,64.75,133.45000000000002,LONG,SHORT,-158.0,0.5111111111111111,142.75
-165.95,-20.5,11.75,59.75,110.00000000000001,LONG,SHORT,-156.0,0.5555555555555556,80.25
-111.05,-30.0,20.0,64.75,124.80000000000001,LONG,SHORT,-233.0,0.6222222222222222,94.75
-136.85,-72.0,11.5,65.5,132.3,LONG,SHORT,-323.75,0.5555555555555556,137.5
-97.6,-24.75,28.75,65.5,110.00000000000001,LONG,SHORT,-389.5,0.6222222222222222,90.25
-97.74999999999999,-20.25,2.0,46.25,108.00000000000003,LONG,SHORT,-354.5,0.5111111111111111,66.5
-111.65,-60.75,-1.0,59.75,119.80000000000001,SHORT,SHORT,-316.25,0.5111111111111111,120.5
-108.15,-60.75,-0.25,59.0,149.3,SHORT,SHORT,-331.25,0.5111111111111111,119.75
-97.89999999999999,-48.0,11.75,65.5,158.10000000000002,LONG,SHORT,-350.25,0.5777777777777777,113.5
-90.35,-49.5,25.5,65.5,158.10000000000002,LONG,SHORT,-397.25,0.5777777777777777,115.0
-111.65,-60.75,7.5,59.75,132.20000000000007,LONG,SHORT,-359.75,0.5333333333333333,120.5
-81.25,-20.5,11.75,59.0,112.40000000000003,LONG,SHORT,-369.75,0.5555555555555556,79.5
