concept,tf,n_regimes,n_pos,n_neg,has_inversion,min_corr,max_corr,corr_range
body,4h,6,2,4,True,-0.09106958589695761,0.11015697758141968,0.2012265634783773
price_sigma_w,1h,6,4,2,True,-0.06974675157749066,0.13139664092219466,0.20114339249968533
price_accel_1b,1D,6,1,5,True,-0.1729437136211112,0.01892656049796557,0.19187027411907676
vol_sigma_w,15s,6,2,4,True,-0.10171647392460893,0.08975360460022865,0.19147007852483758
price_accel_1b,1h,6,3,3,True,-0.13933217248963814,0.04880615705386573,0.18813832954350387
price_velocity_1b,4h,6,2,4,True,-0.0896883897909536,0.09118090824461206,0.18086929803556567
body,1D,6,1,5,True,-0.15613622292450638,0.02275104620077785,0.17888726912528424
vol_accel_w,4h,6,3,3,True,-0.08493131459571124,0.09018544326556016,0.1751167578612714
price_velocity_w,1h,6,1,5,True,-0.11716570495179433,0.05606115611564434,0.17322686106743868
price_velocity_1b,5m,6,3,3,True,-0.09949137570063689,0.07224034970581827,0.17173172540645515
body,5m,6,3,3,True,-0.09898058099207818,0.07239596566941213,0.17137654666149033
vol_sigma_w,5s,6,2,4,True,-0.09418368657253723,0.07485141587482681,0.16903510244736403
price_accel_w,1h,6,2,4,True,-0.03253782949530912,0.1297123963704221,0.1622502258657312
vol_velocity_w,15m,6,2,4,True,-0.08837573696416198,0.06350131648137954,0.15187705344554153
price_accel_w,1D,6,2,4,True,-0.13292290520889513,0.017757313655680437,0.15068021886457555
vol_velocity_w,5m,6,4,2,True,-0.03797058016684689,0.11131092006032765,0.14928150022717454
vol_velocity_1b,15m,6,4,2,True,-0.05034798198346778,0.09467566706691655,0.14502364905038434
price_accel_1b,4h,6,4,2,True,-0.05431869220362072,0.08586018721789378,0.1401788794215145
vol_velocity_w,4h,6,1,5,True,-0.05222298057030946,0.08573548856486807,0.13795846913517754
price_accel_1b,1m,6,5,1,True,-0.008126769892145122,0.11728080257874256,0.12540757247088768
bar_range,1D,6,4,2,True,-0.054364333106985054,0.0696588510545115,0.12402318416149655
price_accel_w,4h,6,4,2,True,-0.04345812895397191,0.07585813464237713,0.11931626359634903
vol_velocity_1b,1h,6,2,4,True,-0.07811389508285164,0.03678888846512175,0.1149027835479734
vol_accel_1b,1h,6,2,4,True,-0.08806224054176967,0.02135070757495025,0.10941294811671992
