**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,pnl_usd,r_price,atr_pts
2026_03_11,1773278139,LONG,25010.0,1773280034,25036.0,26.0,46.0,21.0,5.25
2026_03_11,1773280034,SHORT,25036.0,1773283269,24945.5,90.5,175.0,21.0,5.25
2026_03_11,1773283269,LONG,24945.5,1773285149,24950.0,4.5,3.0,21.0,5.25
2026_03_11,1773285149,SHORT,24950.0,1773287409,24931.25,18.75,31.5,21.0,5.25
2026_03_11,1773287409,LONG,24931.25,1773290044,24943.25,12.0,18.0,21.0,5.25
2026_03_11,1773290044,SHORT,24943.25,1773291744,24946.0,-2.75,-11.5,21.0,5.25
2026_03_11,1773291744,LONG,24946.0,1773292179,24969.0,23.0,40.0,21.0,5.25
2026_03_11,1773292179,SHORT,24969.0,1773294039,24983.0,-14.0,-34.0,21.0,5.25
2026_03_11,1773294039,LONG,24983.0,1773294514,24969.5,-13.5,-33.0,21.0,5.25
2026_03_11,1773294514,SHORT,24969.5,1773296529,24986.75,-17.25,-40.5,21.0,5.25
2026_03_12,1773300369,LONG,25052.0,1773303309,25088.75,36.75,67.5,27.0,6.75
2026_03_12,1773303309,SHORT,25088.75,1773305044,25080.0,8.75,11.5,27.0,6.75
2026_03_12,1773305044,LONG,25080.0,1773306414,25065.0,-15.0,-36.0,27.0,6.75
2026_03_12,1773306414,SHORT,25065.0,1773307789,25064.0,1.0,-4.0,27.0,6.75
2026_03_12,1773307789,LONG,25064.0,1773310189,25111.5,47.5,89.0,27.0,6.75
2026_03_12,1773310189,SHORT,25111.5,1773315024,25105.5,6.0,6.0,27.0,6.75
2026_03_12,1773315024,LONG,25105.5,1773316204,25105.5,0.0,-6.0,27.0,6.75
2026_03_12,1773316204,SHORT,25105.5,1773318499,25057.0,48.5,91.0,27.0,6.75
2026_03_12,1773318499,LONG,25057.0,1773318664,25027.25,-29.75,-65.5,27.0,6.75
2026_03_12,1773318664,SHORT,25027.25,1773319729,25045.75,-18.5,-43.0,27.0,6.75
2026_03_12,1773319729,LONG,25045.75,1773321239,25034.0,-11.75,-29.5,27.0,6.75
2026_03_12,1773321239,SHORT,25034.0,1773321834,25001.25,32.75,59.5,27.0,6.75
2026_03_12,1773321834,LONG,25001.25,1773322619,25016.75,15.5,25.0,27.0,6.75
2026_03_12,1773322619,SHORT,25016.75,1773323299,24922.5,94.25,182.5,27.0,6.75
2026_03_12,1773323299,LONG,24922.5,1773323509,24942.0,19.5,33.0,27.0,6.75
2026_03_12,1773323509,SHORT,24942.0,1773323829,24875.5,66.5,127.0,27.0,6.75
2026_03_12,1773323829,LONG,24875.5,1773324309,24929.0,53.5,101.0,27.0,6.75
2026_03_12,1773324309,SHORT,24929.0,1773324734,24940.0,-11.0,-28.0,27.0,6.75
2026_03_12,1773324734,LONG,24940.0,1773324989,24927.25,-12.75,-31.5,27.0,6.75
2026_03_12,1773324989,SHORT,24927.25,1773326329,24819.5,107.75,209.5,27.0,6.75
2026_03_12,1773326329,LONG,24819.5,1773326844,24896.75,77.25,148.5,27.0,6.75
2026_03_12,1773326844,SHORT,24896.75,1773327089,24837.75,59.0,112.0,27.0,6.75
2026_03_12,1773327089,LONG,24837.75,1773327499,24830.25,-7.5,-21.0,27.0,6.75
2026_03_12,1773327499,SHORT,24830.25,1773328469,24809.0,21.25,36.5,27.0,6.75
2026_03_12,1773328469,LONG,24809.0,1773329404,24822.5,13.5,21.0,27.0,6.75
2026_03_12,1773329404,SHORT,24822.5,1773329859,24821.0,1.5,-3.0,27.0,6.75
2026_03_12,1773329859,LONG,24821.0,1773330309,24887.25,66.25,126.5,27.0,6.75
2026_03_12,1773330309,SHORT,24887.25,1773331289,24896.0,-8.75,-23.5,27.0,6.75
2026_03_12,1773331289,LONG,24896.0,1773331599,24891.0,-5.0,-16.0,27.0,6.75
2026_03_12,1773331599,SHORT,24891.0,1773331874,24840.0,51.0,96.0,27.0,6.75
2026_03_12,1773331874,LONG,24840.0,1773332599,24920.0,80.0,154.0,27.0,6.75
2026_03_12,1773332599,SHORT,24920.0,1773333179,24872.25,47.75,89.5,27.0,6.75
2026_03_12,1773333179,LONG,24872.25,1773333844,24891.5,19.25,32.5,27.0,6.75
2026_03_12,1773333844,SHORT,24891.5,1773334149,24869.25,22.25,38.5,27.0,6.75
2026_03_12,1773334149,LONG,24869.25,1773335309,24909.0,39.75,73.5,27.0,6.75
2026_03_12,1773335309,SHORT,24909.0,1773336154,24877.75,31.25,56.5,27.0,6.75
2026_03_12,1773336154,LONG,24877.75,1773337319,24872.5,-5.25,-16.5,27.0,6.75
2026_03_12,1773337319,SHORT,24872.5,1773338284,24826.0,46.5,87.0,27.0,6.75
2026_03_12,1773338284,LONG,24826.0,1773339544,24856.75,30.75,55.5,27.0,6.75
2026_03_12,1773339544,SHORT,24856.75,1773342914,24811.25,45.5,85.0,27.0,6.75
2026_03_12,1773342914,LONG,24811.25,1773344169,24816.25,5.0,4.0,27.0,6.75
2026_03_12,1773344169,SHORT,24816.25,1773345809,24785.0,31.25,56.5,27.0,6.75
2026_03_12,1773345809,LONG,24785.0,1773346059,24760.0,-25.0,-56.0,27.0,6.75
2026_03_12,1773346059,SHORT,24760.0,1773346709,24763.0,-3.0,-12.0,27.0,6.75
2026_03_12,1773346709,LONG,24763.0,1773352884,24759.0,-4.0,-14.0,27.0,6.75
2026_03_12,1773352884,SHORT,24759.0,1773353229,24796.0,-37.0,-80.0,27.0,6.75
2026_03_12,1773353229,LONG,24796.0,1773353919,24755.75,-40.25,-86.5,27.0,6.75
2026_03_12,1773353919,SHORT,24755.75,1773354314,24785.75,-30.0,-66.0,27.0,6.75
2026_03_12,1773354314,LONG,24785.75,1773357349,24797.25,11.5,17.0,27.0,6.75
2026_03_12,1773357349,SHORT,24797.25,1773360369,24735.0,62.25,118.5,27.0,6.75
2026_03_12,1773360369,LONG,24735.0,1773362834,24828.0,93.0,180.0,27.0,6.75
2026_03_12,1773362834,SHORT,24828.0,1773363619,24846.0,-18.0,-42.0,27.0,6.75
2026_03_12,1773363619,LONG,24846.0,1773366134,24847.75,1.75,-2.5,27.0,6.75
2026_03_12,1773366134,SHORT,24847.75,1773372324,24824.75,23.0,40.0,27.0,6.75
2026_03_12,1773372324,LONG,24824.75,1773375524,24816.0,-8.75,-23.5,27.0,6.75
2026_03_12,1773375524,SHORT,24816.0,1773379444,24795.0,21.0,36.0,27.0,6.75
2026_03_12,1773379444,LONG,24795.0,1773382634,24779.25,-15.75,-37.5,27.0,6.75
2026_03_13,1773385449,SHORT,24668.5,1773386684,24647.25,21.25,36.5,20.0,5.0
2026_03_13,1773386684,LONG,24647.25,1773387729,24668.0,20.75,35.5,20.0,5.0
2026_03_13,1773387729,SHORT,24668.0,1773389839,24635.0,33.0,60.0,20.0,5.0
2026_03_13,1773389839,LONG,24635.0,1773392654,24761.5,126.5,247.0,20.0,5.0
2026_03_13,1773392654,SHORT,24761.5,1773395314,24746.75,14.75,23.5,20.0,5.0
2026_03_13,1773395314,LONG,24746.75,1773397574,24798.5,51.75,97.5,20.0,5.0
2026_03_13,1773397574,SHORT,24798.5,1773398844,24801.25,-2.75,-11.5,20.0,5.0
2026_03_13,1773398844,LONG,24801.25,1773400089,24834.0,32.75,59.5,20.0,5.0
2026_03_13,1773400089,SHORT,24834.0,1773401164,24862.0,-28.0,-62.0,20.0,5.0
2026_03_13,1773401164,LONG,24862.0,1773403489,24865.0,3.0,0.0,20.0,5.0
2026_03_13,1773403489,SHORT,24865.0,1773404884,24863.75,1.25,-3.5,20.0,5.0
2026_03_13,1773404884,LONG,24863.75,1773405139,24866.0,2.25,-1.5,20.0,5.0
2026_03_13,1773405139,SHORT,24866.0,1773405599,24865.0,1.0,-4.0,20.0,5.0
2026_03_13,1773405599,LONG,24865.0,1773406004,24919.25,54.25,102.5,20.0,5.0
2026_03_13,1773406004,SHORT,24919.25,1773406804,24896.25,23.0,40.0,20.0,5.0
2026_03_13,1773406804,LONG,24896.25,1773407034,24866.0,-30.25,-66.5,20.0,5.0
2026_03_13,1773407034,SHORT,24866.0,1773407614,24877.0,-11.0,-28.0,20.0,5.0
2026_03_13,1773407614,LONG,24877.0,1773408319,24868.25,-8.75,-23.5,20.0,5.0
2026_03_13,1773408319,SHORT,24868.25,1773408604,24885.75,-17.5,-41.0,20.0,5.0
2026_03_13,1773408604,LONG,24885.75,1773408839,24878.0,-7.75,-21.5,20.0,5.0
2026_03_13,1773408839,SHORT,24878.0,1773409034,24855.25,22.75,39.5,20.0,5.0
2026_03_13,1773409034,LONG,24855.25,1773409609,24990.0,134.75,263.5,20.0,5.0
2026_03_13,1773409609,SHORT,24990.0,1773409944,24975.5,14.5,23.0,20.0,5.0
2026_03_13,1773409944,LONG,24975.5,1773410169,24972.0,-3.5,-13.0,20.0,5.0
2026_03_13,1773410169,SHORT,24972.0,1773410644,24929.75,42.25,78.5,20.0,5.0
2026_03_13,1773410644,LONG,24929.75,1773410889,24903.0,-26.75,-59.5,20.0,5.0
2026_03_13,1773410889,SHORT,24903.0,1773411579,24871.0,32.0,58.0,20.0,5.0
2026_03_13,1773411579,LONG,24871.0,1773412434,24920.0,49.0,92.0,20.0,5.0
2026_03_13,1773412434,SHORT,24920.0,1773413294,24787.0,133.0,260.0,20.0,5.0
2026_03_13,1773413294,LONG,24787.0,1773413524,24764.0,-23.0,-52.0,20.0,5.0
2026_03_13,1773413524,SHORT,24764.0,1773414214,24699.0,65.0,124.0,20.0,5.0
2026_03_13,1773414214,LONG,24699.0,1773414929,24759.0,60.0,114.0,20.0,5.0
2026_03_13,1773414929,SHORT,24759.0,1773415864,24690.0,69.0,132.0,20.0,5.0
2026_03_13,1773415864,LONG,24690.0,1773416144,24680.0,-10.0,-26.0,20.0,5.0
2026_03_13,1773416144,SHORT,24680.0,1773416819,24626.75,53.25,100.5,20.0,5.0
2026_03_13,1773416819,LONG,24626.75,1773417114,24634.0,7.25,8.5,20.0,5.0
2026_03_13,1773417114,SHORT,24634.0,1773417549,24625.0,9.0,12.0,20.0,5.0
2026_03_13,1773417549,LONG,24625.0,1773418384,24665.25,40.25,74.5,20.0,5.0
2026_03_13,1773418384,SHORT,24665.25,1773418864,24651.75,13.5,21.0,20.0,5.0
2026_03_13,1773418864,LONG,24651.75,1773419944,24669.75,18.0,30.0,20.0,5.0
2026_03_13,1773419944,SHORT,24669.75,1773420489,24634.5,35.25,64.5,20.0,5.0
2026_03_13,1773420489,LONG,24634.5,1773420954,24659.0,24.5,43.0,20.0,5.0
2026_03_13,1773420954,SHORT,24659.0,1773421584,24621.0,38.0,70.0,20.0,5.0
2026_03_13,1773421584,LONG,24621.0,1773422249,24659.25,38.25,70.5,20.0,5.0
2026_03_13,1773422249,SHORT,24659.25,1773422634,24654.25,5.0,4.0,20.0,5.0
2026_03_13,1773422634,LONG,24654.25,1773423054,24643.75,-10.5,-27.0,20.0,5.0
2026_03_13,1773423054,SHORT,24643.75,1773424264,24586.5,57.25,108.5,20.0,5.0
2026_03_13,1773424264,LONG,24586.5,1773425924,24604.0,17.5,29.0,20.0,5.0
2026_03_13,1773425924,SHORT,24604.0,1773426319,24600.0,4.0,2.0,20.0,5.0
2026_03_13,1773426319,LONG,24600.0,1773428044,24660.25,60.25,114.5,20.0,5.0
2026_03_13,1773428044,SHORT,24660.25,1773428909,24640.5,19.75,33.5,20.0,5.0
2026_03_13,1773428909,LONG,24640.5,1773429639,24618.5,-22.0,-50.0,20.0,5.0
2026_03_13,1773429639,SHORT,24618.5,1773431109,24587.75,30.75,55.5,20.0,5.0
2026_03_13,1773431109,LONG,24587.75,1773431999,24549.5,-38.25,-82.5,20.0,5.0
2026_03_13,1773431999,SHORT,24549.5,1773433294,24591.75,-42.25,-90.5,20.0,5.0
2026_03_13,1773433294,LONG,24591.75,1773434659,24574.0,-17.75,-41.5,20.0,5.0
2026_03_15,1773612024,LONG,24534.0,1773612179,24587.75,53.75,101.5,18.5,4.625
2026_03_15,1773612179,SHORT,24587.75,1773613254,24529.25,58.5,111.0,18.5,4.625
2026_03_15,1773613254,LONG,24529.25,1773613654,24535.25,6.0,6.0,18.5,4.625
2026_03_15,1773613654,SHORT,24535.25,1773614219,24553.25,-18.0,-42.0,18.5,4.625
2026_03_15,1773614219,LONG,24553.25,1773615714,24686.75,133.5,261.0,18.5,4.625
2026_03_15,1773615714,SHORT,24686.75,1773616439,24655.5,31.25,56.5,18.5,4.625
2026_03_15,1773616439,LONG,24655.5,1773616674,24640.0,-15.5,-37.0,18.5,4.625
2026_03_15,1773616674,SHORT,24640.0,1773618064,24637.75,2.25,-1.5,18.5,4.625
2026_03_15,1773618064,LONG,24637.75,1773619064,24650.75,13.0,20.0,18.5,4.625
2026_03_15,1773619064,SHORT,24650.75,1773619259,24672.75,-22.0,-50.0,18.5,4.625
2026_03_15,1773619259,LONG,24672.75,1773620404,24714.25,41.5,77.0,18.5,4.625
2026_03_15,1773620404,SHORT,24714.25,1773621319,24715.5,-1.25,-8.5,18.5,4.625
2026_03_15,1773621319,LONG,24715.5,1773622059,24700.5,-15.0,-36.0,18.5,4.625
2026_03_15,1773622059,SHORT,24700.5,1773622114,24721.5,-21.0,-48.0,18.5,4.625
2026_03_15,1773622114,LONG,24721.5,1773623024,24707.75,-13.75,-33.5,18.5,4.625
2026_03_15,1773623024,SHORT,24707.75,1773623724,24719.25,-11.5,-29.0,18.5,4.625
2026_03_15,1773623724,LONG,24719.25,1773624364,24709.75,-9.5,-25.0,18.5,4.625
2026_03_15,1773624364,SHORT,24709.75,1773624914,24700.0,9.75,13.5,18.5,4.625
2026_03_15,1773624914,LONG,24700.0,1773625184,24685.25,-14.75,-35.5,18.5,4.625
2026_03_15,1773625184,SHORT,24685.25,1773625374,24700.75,-15.5,-37.0,18.5,4.625
2026_03_15,1773625374,LONG,24700.75,1773626574,24712.25,11.5,17.0,18.5,4.625
2026_03_15,1773626574,SHORT,24712.25,1773629259,24705.5,6.75,7.5,18.5,4.625
2026_03_15,1773629259,LONG,24705.5,1773629669,24687.75,-17.75,-41.5,18.5,4.625
2026_03_15,1773629669,SHORT,24687.75,1773629814,24706.5,-18.75,-43.5,18.5,4.625
2026_03_15,1773629814,LONG,24706.5,1773635519,24742.0,35.5,65.0,18.5,4.625
2026_03_15,1773635519,SHORT,24742.0,1773636794,24740.0,2.0,-2.0,18.5,4.625
2026_03_15,1773636794,LONG,24740.0,1773642074,24758.5,18.5,31.0,18.5,4.625
2026_03_15,1773642074,SHORT,24758.5,1773643399,24769.5,-11.0,-28.0,18.5,4.625
2026_03_16,1773646034,SHORT,24748.75,1773647419,24745.25,3.5,1.0,26.5,6.625
2026_03_16,1773647419,LONG,24745.25,1773647774,24718.25,-27.0,-60.0,26.5,6.625
2026_03_16,1773647774,SHORT,24718.25,1773648059,24746.5,-28.25,-62.5,26.5,6.625
2026_03_16,1773648059,LONG,24746.5,1773648819,24754.0,7.5,9.0,26.5,6.625
2026_03_16,1773648819,SHORT,24754.0,1773649389,24744.75,9.25,12.5,26.5,6.625
2026_03_16,1773649389,LONG,24744.75,1773649579,24732.75,-12.0,-30.0,26.5,6.625
2026_03_16,1773649579,SHORT,24732.75,1773651154,24739.5,-6.75,-19.5,26.5,6.625
2026_03_16,1773651154,LONG,24739.5,1773651904,24723.5,-16.0,-38.0,26.5,6.625
2026_03_16,1773651904,SHORT,24723.5,1773652229,24726.0,-2.5,-11.0,26.5,6.625
2026_03_16,1773652229,LONG,24726.0,1773653439,24718.25,-7.75,-21.5,26.5,6.625
2026_03_16,1773653439,SHORT,24718.25,1773654484,24717.25,1.0,-4.0,26.5,6.625
2026_03_16,1773654484,LONG,24717.25,1773654864,24701.5,-15.75,-37.5,26.5,6.625
2026_03_16,1773654864,SHORT,24701.5,1773655434,24728.5,-27.0,-60.0,26.5,6.625
2026_03_16,1773655434,LONG,24728.5,1773657369,24769.25,40.75,75.5,26.5,6.625
2026_03_16,1773657369,SHORT,24769.25,1773657759,24808.25,-39.0,-84.0,26.5,6.625
2026_03_16,1773657759,LONG,24808.25,1773657819,24781.0,-27.25,-60.5,26.5,6.625
2026_03_16,1773657819,SHORT,24781.0,1773658194,24801.25,-20.25,-46.5,26.5,6.625
2026_03_16,1773658194,LONG,24801.25,1773659404,24797.0,-4.25,-14.5,26.5,6.625
2026_03_16,1773659404,SHORT,24797.0,1773660979,24817.5,-20.5,-47.0,26.5,6.625
2026_03_16,1773660979,LONG,24817.5,1773665704,24874.5,57.0,108.0,26.5,6.625
2026_03_16,1773665704,SHORT,24874.5,1773666079,24891.0,-16.5,-39.0,26.5,6.625
2026_03_16,1773666079,LONG,24891.0,1773666689,24866.75,-24.25,-54.5,26.5,6.625
2026_03_16,1773666689,SHORT,24866.75,1773667864,24875.5,-8.75,-23.5,26.5,6.625
2026_03_16,1773667864,LONG,24875.5,1773668269,24903.5,28.0,50.0,26.5,6.625
2026_03_16,1773668269,SHORT,24903.5,1773668719,24914.0,-10.5,-27.0,26.5,6.625
2026_03_16,1773668719,LONG,24914.0,1773668924,24920.5,6.5,7.0,26.5,6.625
2026_03_16,1773668924,SHORT,24920.5,1773669414,24927.25,-6.75,-19.5,26.5,6.625
2026_03_16,1773669414,LONG,24927.25,1773669614,24915.5,-11.75,-29.5,26.5,6.625
2026_03_16,1773669614,SHORT,24915.5,1773670019,24943.75,-28.25,-62.5,26.5,6.625
2026_03_16,1773670019,LONG,24943.75,1773670359,24941.75,-2.0,-10.0,26.5,6.625
2026_03_16,1773670359,SHORT,24941.75,1773670724,24970.5,-28.75,-63.5,26.5,6.625
2026_03_16,1773670724,LONG,24970.5,1773671249,24952.5,-18.0,-42.0,26.5,6.625
2026_03_16,1773671249,SHORT,24952.5,1773672389,24877.75,74.75,143.5,26.5,6.625
2026_03_16,1773672389,LONG,24877.75,1773672474,24848.25,-29.5,-65.0,26.5,6.625
2026_03_16,1773672474,SHORT,24848.25,1773672709,24866.5,-18.25,-42.5,26.5,6.625
2026_03_16,1773672709,LONG,24866.5,1773673439,24884.5,18.0,30.0,26.5,6.625
2026_03_16,1773673439,SHORT,24884.5,1773673779,24894.75,-10.25,-26.5,26.5,6.625
2026_03_16,1773673779,LONG,24894.75,1773674964,24923.25,28.5,51.0,26.5,6.625
2026_03_16,1773674964,SHORT,24923.25,1773675244,24951.75,-28.5,-63.0,26.5,6.625
2026_03_16,1773675244,LONG,24951.75,1773676234,24925.0,-26.75,-59.5,26.5,6.625
2026_03_16,1773676234,SHORT,24925.0,1773677279,24912.0,13.0,20.0,26.5,6.625
2026_03_16,1773677279,LONG,24912.0,1773677564,24885.75,-26.25,-58.5,26.5,6.625
2026_03_16,1773677564,SHORT,24885.75,1773678739,24862.75,23.0,40.0,26.5,6.625
2026_03_16,1773678739,LONG,24862.75,1773680644,24905.75,43.0,80.0,26.5,6.625
2026_03_16,1773680644,SHORT,24905.75,1773681234,24933.25,-27.5,-61.0,26.5,6.625
2026_03_16,1773681234,LONG,24933.25,1773682404,24909.0,-24.25,-54.5,26.5,6.625
2026_03_16,1773682404,SHORT,24909.0,1773683629,24900.25,8.75,11.5,26.5,6.625
2026_03_16,1773683629,LONG,24900.25,1773687384,24921.0,20.75,35.5,26.5,6.625
2026_03_16,1773687384,SHORT,24921.0,1773688159,24932.0,-11.0,-28.0,26.5,6.625
2026_03_16,1773688159,LONG,24932.0,1773688254,24986.5,54.5,103.0,26.5,6.625
2026_03_16,1773688254,SHORT,24986.5,1773688634,24944.0,42.5,79.0,26.5,6.625
2026_03_16,1773688634,LONG,24944.0,1773688749,24915.75,-28.25,-62.5,26.5,6.625
2026_03_16,1773688749,SHORT,24915.75,1773689369,24908.75,7.0,8.0,26.5,6.625
2026_03_16,1773689369,LONG,24908.75,1773690119,24877.75,-31.0,-68.0,26.5,6.625
2026_03_16,1773690119,SHORT,24877.75,1773690679,24879.5,-1.75,-9.5,26.5,6.625
2026_03_16,1773690679,LONG,24879.5,1773691414,24868.0,-11.5,-29.0,26.5,6.625
2026_03_16,1773691414,SHORT,24868.0,1773691629,24896.75,-28.75,-63.5,26.5,6.625
2026_03_16,1773691629,LONG,24896.75,1773692484,24872.5,-24.25,-54.5,26.5,6.625
2026_03_16,1773692484,SHORT,24872.5,1773699909,24867.25,5.25,4.5,26.5,6.625
2026_03_16,1773699909,LONG,24867.25,1773700464,24846.5,-20.75,-47.5,26.5,6.625
2026_03_16,1773700464,SHORT,24846.5,1773704019,24864.25,-17.75,-41.5,26.5,6.625
2026_03_16,1773704019,LONG,24864.25,1773705749,24851.0,-13.25,-32.5,26.5,6.625
2026_03_16,1773705749,SHORT,24851.0,1773707689,24848.5,2.5,-1.0,26.5,6.625
2026_03_16,1773707689,LONG,24848.5,1773708079,24834.25,-14.25,-34.5,26.5,6.625
2026_03_16,1773708079,SHORT,24834.25,1773709569,24832.25,2.0,-2.0,26.5,6.625
2026_03_16,1773709569,LONG,24832.25,1773711724,24816.0,-16.25,-38.5,26.5,6.625
2026_03_16,1773711724,SHORT,24816.0,1773712604,24838.0,-22.0,-50.0,26.5,6.625
2026_03_16,1773712604,LONG,24838.0,1773715819,24813.0,-25.0,-56.0,26.5,6.625
2026_03_16,1773715819,SHORT,24813.0,1773721079,24809.25,3.75,1.5,26.5,6.625
2026_03_16,1773721079,LONG,24809.25,1773726184,24825.5,16.25,26.5,26.5,6.625
2026_03_16,1773726184,SHORT,24825.5,1773728414,24757.75,67.75,129.5,26.5,6.625
2026_03_16,1773728414,LONG,24757.75,1773728774,24746.5,-11.25,-28.5,26.5,6.625
2026_03_16,1773728774,SHORT,24746.5,1773729599,24772.5,-26.0,-58.0,26.5,6.625
2026_03_16,1773729599,LONG,24772.5,1773730024,24744.0,-28.5,-63.0,26.5,6.625
2026_03_17,1773731944,LONG,24774.0,1773733369,24792.0,18.0,30.0,20.5,5.125
2026_03_17,1773733369,SHORT,24792.0,1773734419,24790.5,1.5,-3.0,20.5,5.125
2026_03_17,1773734419,LONG,24790.5,1773734554,24787.0,-3.5,-13.0,20.5,5.125
2026_03_17,1773734554,SHORT,24787.0,1773735564,24779.25,7.75,9.5,20.5,5.125
2026_03_17,1773735564,LONG,24779.25,1773735884,24767.75,-11.5,-29.0,20.5,5.125
2026_03_17,1773735884,SHORT,24767.75,1773736774,24762.25,5.5,5.0,20.5,5.125
2026_03_17,1773736774,LONG,24762.25,1773737404,24777.5,15.25,24.5,20.5,5.125
2026_03_17,1773737404,SHORT,24777.5,1773737989,24770.0,7.5,9.0,20.5,5.125
2026_03_17,1773737989,LONG,24770.0,1773740329,24826.0,56.0,106.0,20.5,5.125
