trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
5636,2025_07_21,PEAK,short,-11.5,129.5,same_extended,52,1753106760.0,2,PEAK.2
5637,2025_07_21,PEAK,short,31.0,134.5,same_extended,56,1753107000.0,2,PEAK.2
5657,2025_07_22,PEAK,long,-2.0,135.0,counter_extended,87,1753154760.0,0,PEAK.0
5660,2025_07_22,PEAK,long,-11.0,86.5,same_extended,111,1753158300.0,0,PEAK.0
5726,2025_07_23,PEAK,short,-45.5,125.0,counter_extended,29,1753301460.0,2,PEAK.2
5727,2025_07_23,PEAK,short,6.5,50.5,counter_extended,37,1753301940.0,2,PEAK.2
5782,2025_07_25,PEAK,long,6.0,83.5,counter_extended,103,1753419540.0,0,PEAK.0
5907,2025_07_29,PEAK,long,31.5,200.0,counter_extended,82,1753801200.0,3,PEAK.3
5929,2025_07_30,PEAK,short,2.5,67.5,same_extended,103,1753845180.0,2,PEAK.2
5939,2025_07_30,PEAK,long,-1.0,112.5,same_extended,1,1753864200.0,0,PEAK.0
5962,2025_07_30,PEAK,short,40.0,114.5,counter_extended,90,1753907700.0,2,PEAK.2
6103,2025_08_04,PEAK,short,8.0,38.0,counter_extended,44,1754338740.0,2,PEAK.2
6143,2025_08_05,PEAK,long,4.5,93.5,counter_extended,118,1754426580.0,0,PEAK.0
6178,2025_08_06,PEAK,short,-10.5,85.0,counter_extended,22,1754519100.0,2,PEAK.2
6179,2025_08_06,PEAK,short,24.0,51.0,same_extended,35,1754519880.0,2,PEAK.2
6222,2025_08_07,PEAK,short,-5.5,28.5,same_extended,118,1754605380.0,2,PEAK.2
6265,2025_08_10,PEAK,long,7.5,12.0,counter_early,94,1754868840.0,0,PEAK.0
6275,2025_08_11,PEAK,long,-7.0,146.5,counter_extended,78,1754887020.0,0,PEAK.0
6276,2025_08_11,PEAK,long,-3.0,142.0,counter_extended,83,1754887320.0,0,PEAK.0
6277,2025_08_11,PEAK,long,5.0,137.5,counter_extended,92,1754887860.0,0,PEAK.0
6396,2025_08_14,PEAK,long,1.5,59.5,counter_extended,22,1755141960.0,0,PEAK.0
6402,2025_08_14,PEAK,long,11.5,218.5,counter_extended,12,1755151140.0,0,PEAK.0
6478,2025_08_18,PEAK,long,-5.0,235.0,counter_extended,86,1755488460.0,0,PEAK.0
6480,2025_08_18,PEAK,long,-5.5,219.5,counter_extended,57,1755490320.0,0,PEAK.0
6514,2025_08_18,PEAK,short,4.5,48.5,same_extended,52,1755555300.0,2,PEAK.2
6515,2025_08_18,PEAK,short,9.0,46.0,same_extended,55,1755555480.0,2,PEAK.2
6529,2025_08_19,PEAK,long,7.0,138.0,same_extended,5,1755581340.0,0,PEAK.0
6557,2025_08_19,PEAK,long,3.5,23.0,counter_extended,96,1755646800.0,0,PEAK.0
6566,2025_08_20,PEAK,long,8.5,208.0,same_extended,15,1755662700.0,0,PEAK.0
6668,2025_08_22,PEAK,short,-23.5,114.0,same_extended,111,1755883380.0,2,PEAK.2
6669,2025_08_22,PEAK,short,-9.0,152.0,same_extended,117,1755883740.0,2,PEAK.2
6694,2025_08_25,PEAK,long,-5.5,149.0,counter_extended,56,1756104900.0,0,PEAK.0
6698,2025_08_25,PEAK,long,-6.5,221.0,same_extended,8,1756113600.0,0,PEAK.0
6720,2025_08_25,PEAK,long,11.5,12.0,same_early,88,1756166040.0,0,PEAK.0
6758,2025_08_26,PEAK,short,9.5,151.5,counter_extended,52,1756233960.0,2,PEAK.2
6760,2025_08_26,PEAK,short,11.5,24.0,counter_extended,120,1756239840.0,2,PEAK.2
6819,2025_08_28,PEAK,short,-9.0,125.5,counter_extended,54,1756363200.0,2,PEAK.2
6820,2025_08_28,PEAK,short,7.0,112.0,counter_extended,60,1756363560.0,2,PEAK.2
6881,2025_08_31,PEAK,short,-8.5,28.5,counter_extended,55,1756680960.0,2,PEAK.2
6882,2025_08_31,PEAK,short,-5.5,19.5,counter_early,57,1756681080.0,2,PEAK.2
6886,2025_09_01,PEAK,long,-8.0,213.0,counter_extended,120,1756693200.0,0,PEAK.0
6893,2025_09_01,PEAK,long,-30.5,206.5,same_extended,10,1756707900.0,0,PEAK.0
6907,2025_09_01,PEAK,long,3.0,107.0,counter_extended,49,1756743720.0,0,PEAK.0
6915,2025_09_02,PEAK,short,-6.5,172.5,same_extended,1,1756774800.0,2,PEAK.2
7036,2025_09_04,PEAK,short,-34.5,51.5,counter_extended,109,1757016900.0,2,PEAK.2
7053,2025_09_05,PEAK,short,7.0,62.5,counter_extended,46,1757051160.0,2,PEAK.2
7134,2025_09_09,PEAK,short,5.5,79.0,counter_extended,42,1757398080.0,2,PEAK.2
7164,2025_09_10,PEAK,short,-12.5,167.0,counter_extended,9,1757486100.0,2,PEAK.2
7169,2025_09_10,PEAK,long,11.5,252.0,same_extended,1,1757494080.0,0,PEAK.0
7321,2025_09_16,PEAK,short,10.0,139.0,counter_extended,21,1757990460.0,2,PEAK.2
7389,2025_09_18,PEAK,long,6.0,292.0,same_extended,28,1758175260.0,0,PEAK.0
