concept,tf,regime_2d,n_target,n_buckets_with_data,best_bucket,best_bucket_fwd,worst_bucket,worst_bucket_fwd,inversion
vol_velocity_w,5s,UP_SMOOTH,1455,9,us_pre,100.00416666666666,pre_market,6.856182795698925,False
bar_range,15m,UP_SMOOTH,1433,9,us_lunch,99.07207207207207,pre_market,-2.1279761904761907,True
body,15m,UP_SMOOTH,1436,9,us_pre,98.2107438016529,pre_market,-5.976666666666667,True
bar_range,15m,DOWN_SMOOTH,933,9,us_pre,-97.35416666666667,asia_close,-4.508333333333334,False
vol_mean_w,1m,DOWN_SMOOTH,933,6,us_pre,-97.05645161290323,us_morning,-29.500912408759124,False
bar_range,5s,DOWN_SMOOTH,948,9,us_pre,-96.12735849056604,asia_close,-16.19871794871795,False
price_velocity_1b,5s,UP_SMOOTH,1892,9,us_pre,96.11174242424242,eu_open,5.8825,False
body,5s,UP_SMOOTH,1528,9,us_pre,93.38385826771653,eu_open,0.2951388888888889,False
vol_velocity_w,15m,UP_SMOOTH,1430,8,us_pm,92.69791666666667,eu_open,3.7767857142857144,False
price_sigma_w,1h,DOWN_SMOOTH,936,6,us_lunch,-90.79513888888889,pre_market,-6.581439393939394,False
price_velocity_1b,5s,DOWN_SMOOTH,1090,9,us_pre,-90.60546875,eu_open,-7.553892215568863,False
price_velocity_w,1m,DOWN_SMOOTH,948,9,us_pre,-90.0078125,pre_market,-2.8806818181818183,False
swing_noise_w,1h,DOWN_SMOOTH,936,9,us_pre,-88.89583333333333,pre_market,0.421875,False
vol_mean_w,15m,DOWN_SMOOTH,933,5,after_close,-87.82142857142857,us_open,-21.00952380952381,False
bar_range,5s,UP_SMOOTH,1589,9,us_pre,87.79069767441861,asia_close,-0.17261904761904762,False
body,1m,DOWN_SMOOTH,971,9,us_pre,-86.59016393442623,pre_market,-8.021212121212121,False
body,5s,DOWN_SMOOTH,1132,9,us_pre,-85.99642857142857,pre_market,-5.5,False
bar_range,1h,DOWN_SMOOTH,942,8,us_pre,-83.9,pre_market,-13.189814814814815,False
vol_velocity_w,5s,DOWN_SMOOTH,996,9,us_pre,-83.43150684931507,asia_close,-7.473684210526316,False
price_sigma_w,1h,UP_SMOOTH,1440,8,us_morning,83.24652777777777,pre_market,2.8375,False
price_velocity_1b,1m,DOWN_SMOOTH,968,9,us_pre,-83.15789473684211,pre_market,-7.103395061728395,False
vol_velocity_w,1h,FLAT_CHOPPY,3672,6,us_pre,81.0,us_morning,2.479891304347826,False
swing_noise_w,15m,DOWN_SMOOTH,954,6,us_lunch,-80.32738095238095,pre_market,-7.217391304347826,False
price_sigma_w,5m,UP_CHOPPY,785,9,us_pm,80.234375,us_lunch,18.353448275862068,False
price_velocity_w,1h,UP_SMOOTH,1440,7,us_morning,78.35096153846153,pre_market,1.9236111111111112,False
swing_noise_w,1m,UP_CHOPPY,787,9,us_pm,78.2,us_morning,17.56985294117647,False
swing_noise_w,15m,UP_CHOPPY,803,9,asia_close,75.53846153846153,pre_market,1.8694029850746268,False
bar_range,1h,DOWN_CHOPPY,600,7,after_close,-75.49404761904762,us_pm,-10.913690476190476,False
bar_range,15m,UP_CHOPPY,799,9,us_pm,75.41071428571429,us_lunch,17.14367816091954,False
price_velocity_w,5s,DOWN_SMOOTH,971,9,us_pre,-74.90865384615384,pre_market,-3.9046875,False
vol_mean_w,5m,UP_SMOOTH,1430,6,us_pre,74.81,after_close,27.630794701986755,False
price_sigma_w,1m,UP_CHOPPY,785,9,us_pm,74.0,us_lunch,16.541666666666668,False
swing_noise_w,5s,UP_CHOPPY,803,9,asia_close,71.82589285714286,pre_market,21.288888888888888,False
price_velocity_w,15m,DOWN_CHOPPY,598,8,us_morning,-71.33333333333333,pre_market,-1.5354166666666667,False
vol_mean_w,5m,UP_CHOPPY,785,5,us_pm,70.4469696969697,us_lunch,16.444174757281555,False
bar_range,5m,UP_CHOPPY,787,9,asia_close,70.23245614035088,pre_market,21.453125,False
vol_mean_w,15m,UP_CHOPPY,786,5,us_pm,69.23,us_lunch,8.26271186440678,False
bar_range,1m,UP_CHOPPY,794,9,asia_close,68.65454545454546,after_close,18.436567164179106,False
bar_range,1m,DOWN_CHOPPY,615,7,after_close,-67.23571428571428,us_morning,-16.96082089552239,False
vol_velocity_w,1m,UP_SMOOTH,1433,9,us_pre,65.34126984126983,pre_market,3.4748201438848922,False
bar_range,15m,DOWN_CHOPPY,603,7,after_close,-64.41666666666667,us_pre,-0.16666666666666666,False
vol_mean_w,1m,UP_CHOPPY,785,5,us_pm,63.82911392405063,us_lunch,14.72877358490566,False
price_sigma_w,5s,UP_CHOPPY,785,9,asia_close,63.66949152542373,pre_market,12.70754716981132,False
bar_range,5s,UP_CHOPPY,884,9,asia_close,63.64344262295082,eu_open,15.954128440366972,False
swing_noise_w,5m,DOWN_SMOOTH,943,6,us_lunch,-63.43539325842696,pre_market,-7.919270833333333,False
body,1h,DOWN_CHOPPY,600,7,us_morning,-62.317708333333336,pre_market,0.4791666666666667,False
price_velocity_1b,1h,DOWN_CHOPPY,600,7,us_morning,-62.317708333333336,pre_market,0.4791666666666667,False
swing_noise_w,15m,FLAT_SMOOTH,1995,8,us_pre,61.98076923076923,after_close,0.24959546925566342,False
swing_noise_w,5m,UP_CHOPPY,786,8,us_pm,61.73039215686274,pre_market,7.2976190476190474,False
vol_velocity_w,5m,UP_CHOPPY,785,9,us_open,61.550925925925924,eu_open,0.4868421052631579,False
vol_mean_w,5s,UP_SMOOTH,1430,6,us_pre,61.30416666666667,after_close,17.303571428571427,False
vol_velocity_w,5m,UP_SMOOTH,1430,9,us_lunch,61.07194244604317,eu_open,-0.2958860759493671,False
price_sigma_w,15m,UP_CHOPPY,786,8,asia_close,59.705555555555556,pre_market,-8.666666666666666,True
price_sigma_w,1h,UP_CHOPPY,792,9,asia_close,59.18333333333333,us_lunch,-3.783333333333333,True
vol_velocity_w,15m,UP_CHOPPY,786,6,asia_close,58.49074074074074,eu_open,-11.006944444444445,True
swing_noise_w,5m,DOWN_CHOPPY,598,6,after_close,-58.25892857142857,us_morning,-9.857784431137725,False
vol_mean_w,1m,UP_SMOOTH,1430,6,us_pre,58.18359375,after_close,26.26578947368421,False
price_sigma_w,15m,DOWN_SMOOTH,934,7,us_lunch,-57.68840579710145,us_open,-6.117063492063492,False
body,15m,UP_CHOPPY,796,9,us_pm,55.745370370370374,eu_open,-0.3474264705882353,False
price_velocity_1b,15m,UP_CHOPPY,791,9,us_pm,55.745370370370374,us_lunch,0.24358974358974358,False
swing_noise_w,1m,DOWN_CHOPPY,601,6,after_close,-54.99418604651163,us_pre,-7.744047619047619,False
swing_noise_w,5s,DOWN_CHOPPY,603,7,after_close,-53.57051282051282,eu_open,-13.807142857142857,False
vol_mean_w,1h,UP_CHOPPY,792,5,us_pm,51.995370370370374,after_close,8.256666666666666,False
price_sigma_w,15m,DOWN_CHOPPY,599,7,after_close,-51.29338842975206,us_morning,2.476950354609929,True
body,1m,UP_CHOPPY,830,9,us_open,51.0162037037037,after_close,4.541176470588235,False
vol_velocity_w,1m,UP_CHOPPY,785,9,us_open,50.71456692913386,after_close,5.039285714285715,False
price_velocity_1b,5s,UP_CHOPPY,817,9,us_open,50.61298076923077,pre_market,-2.814159292035398,True
vol_velocity_w,1h,UP_CHOPPY,792,5,us_pm,50.13392857142857,us_open,12.455555555555556,False
body,5s,UP_CHOPPY,861,9,us_open,50.002252252252255,pre_market,-0.18,False
price_velocity_1b,1m,UP_CHOPPY,821,9,us_open,49.68691588785047,after_close,3.6398809523809526,False
price_velocity_w,1h,UP_CHOPPY,792,8,us_morning,49.416666666666664,after_close,2.536184210526316,False
vol_mean_w,15m,UP_SMOOTH,1431,5,after_close,49.13505747126437,us_open,34.78521126760563,False
swing_noise_w,1h,DOWN_CHOPPY,600,9,us_pm,-48.375,after_close,3.6640625,True
price_velocity_w,1m,UP_CHOPPY,794,9,us_pm,47.64912280701754,us_pre,-0.46830985915492956,False
bar_range,5s,DOWN_CHOPPY,651,7,after_close,-47.57386363636363,us_morning,-17.836693548387096,False
vol_velocity_w,1h,UP_SMOOTH,1440,5,us_lunch,47.52807971014493,after_close,30.358333333333334,False
price_velocity_w,1h,DOWN_CHOPPY,600,7,us_lunch,-47.233333333333334,us_pre,-4.809523809523809,False
vol_mean_w,5s,UP_CHOPPY,785,5,us_pm,47.122950819672134,us_lunch,12.46551724137931,False
vol_velocity_w,5s,UP_CHOPPY,792,9,asia_close,46.47282608695652,us_lunch,4.227564102564102,False
swing_noise_w,15m,DOWN_CHOPPY,652,7,us_pre,-44.891666666666666,us_morning,15.076190476190476,True
price_velocity_w,5m,DOWN_CHOPPY,598,9,us_open,-42.338815789473685,pre_market,-1.9892857142857143,False
price_velocity_w,5s,UP_CHOPPY,813,9,us_open,42.20952380952381,pre_market,-0.5403225806451613,False
price_sigma_w,5s,DOWN_CHOPPY,598,7,after_close,-41.52173913043478,us_morning,-19.06756756756757,False
bar_range,5m,DOWN_CHOPPY,599,7,after_close,-40.72857142857143,eu_open,-15.05232558139535,False
price_velocity_w,5m,UP_CHOPPY,788,9,us_pm,39.43518518518518,us_pre,2.5576923076923075,False
vol_velocity_w,5m,DOWN_CHOPPY,598,9,us_pm,-38.32236842105263,asia_close,4.075,True
price_velocity_1b,15m,DOWN_CHOPPY,609,9,us_pm,-37.93518518518518,pre_market,-3.3257575757575757,False
body,15m,DOWN_CHOPPY,600,9,us_pm,-37.93518518518518,pre_market,-2.7355072463768115,False
price_velocity_w,1m,DOWN_CHOPPY,604,9,us_pm,-37.255,asia_close,-0.40625,False
price_sigma_w,1m,DOWN_CHOPPY,598,7,after_close,-36.78804347826087,eu_open,-13.121428571428572,False
vol_velocity_w,1m,DOWN_CHOPPY,599,8,us_pm,-36.06470588235294,us_pre,-0.7745901639344263,False
body,1h,UP_CHOPPY,792,7,us_open,35.78819444444444,asia_close,-1.5297619047619047,True
price_velocity_1b,1h,UP_CHOPPY,792,7,us_open,35.78819444444444,asia_close,-3.0833333333333335,True
vol_velocity_w,15m,FLAT_CHOPPY,3664,9,asia_close,-35.67982456140351,us_morning,4.083333333333333,True
price_sigma_w,1h,FLAT_CHOPPY,3672,9,us_pre,35.35049019607843,us_pm,-2.494140625,True
body,5m,UP_CHOPPY,795,9,asia_close,35.141304347826086,pre_market,-2.1547619047619047,True
price_velocity_1b,5m,DOWN_CHOPPY,606,9,us_pm,-34.90686274509804,pre_market,1.0049019607843137,True
price_velocity_w,1h,FLAT_CHOPPY,3652,9,us_morning,-34.85262345679013,pre_market,1.5688591983556013,True
body,5m,DOWN_CHOPPY,613,9,us_pm,-34.745,pre_market,1.0601851851851851,True
price_sigma_w,15m,FLAT_CHOPPY,3664,9,us_pre,34.42484662576687,eu_open,0.8230240549828178,False
price_velocity_1b,5m,UP_CHOPPY,799,9,us_pm,34.13076923076923,pre_market,0.07661290322580645,False
swing_noise_w,5m,FLAT_CHOPPY,3674,9,pre_market,33.765625,us_pm,3.7831050228310503,False
vol_mean_w,1h,FLAT_SMOOTH,1956,5,us_lunch,33.266304347826086,pre_market,1.43114406779661,False
swing_noise_w,1h,FLAT_CHOPPY,3685,9,us_open,-32.604651162790695,us_pre,-1.1565315315315314,False
swing_noise_w,5s,FLAT_SMOOTH,1995,9,us_lunch,32.124301675977655,eu_open,2.4417098445595853,False
bar_range,1m,FLAT_SMOOTH,2072,9,us_lunch,31.575641025641026,eu_open,-1.2019230769230769,True
vol_mean_w,5s,DOWN_CHOPPY,598,4,us_pm,-31.275510204081634,us_morning,-15.327380952380953,False
swing_noise_w,5m,FLAT_SMOOTH,1977,8,us_lunch,31.039106145251395,pre_market,1.0077720207253886,False
swing_noise_w,1m,FLAT_SMOOTH,1979,9,us_lunch,30.969895287958114,us_pm,0.9630177514792899,False
price_sigma_w,5m,FLAT_SMOOTH,1977,9,us_lunch,30.7775,asia_close,-3.002049180327869,True
price_sigma_w,15m,FLAT_SMOOTH,1973,8,us_lunch,30.49122807017544,after_close,-2.5485996705107086,True
price_sigma_w,5s,FLAT_SMOOTH,1979,9,us_lunch,29.937878787878788,eu_open,-0.11899038461538461,False
price_velocity_1b,1m,DOWN_CHOPPY,600,9,us_pm,-29.705357142857142,pre_market,0.355,False
bar_range,5m,FLAT_SMOOTH,2020,9,us_lunch,29.410994764397905,eu_open,1.229281767955801,False
swing_noise_w,15m,FLAT_CHOPPY,3675,9,us_pre,28.834967320261438,eu_open,-0.28555555555555556,False
vol_velocity_w,5s,DOWN_CHOPPY,609,9,us_pm,-28.70774647887324,asia_close,-8.025,False
price_sigma_w,5m,DOWN_CHOPPY,598,7,us_lunch,-28.686813186813186,after_close,-0.23295454545454544,False
vol_mean_w,5s,FLAT_CHOPPY,3664,7,after_close,-28.6265625,us_pm,3.5920846394984327,True
bar_range,1m,FLAT_CHOPPY,3663,9,pre_market,28.574404761904763,eu_open,2.4813432835820897,False
swing_noise_w,1m,FLAT_CHOPPY,3667,9,pre_market,28.558139534883722,us_pm,1.9723427331887202,False
price_velocity_1b,5s,DOWN_CHOPPY,663,9,us_pm,-28.509090909090908,pre_market,0.23737373737373738,False
body,1m,DOWN_CHOPPY,598,9,us_pm,-27.805555555555557,pre_market,1.4285714285714286,True
bar_range,5s,FLAT_SMOOTH,2319,9,us_lunch,27.78917050691244,eu_open,0.875,False
bar_range,5m,FLAT_CHOPPY,3714,9,pre_market,27.22050561797753,us_pm,2.1701680672268906,False
vol_mean_w,1h,DOWN_CHOPPY,600,4,after_close,-27.203993055555557,pre_market,-12.395833333333334,False
bar_range,1h,FLAT_SMOOTH,1992,9,us_lunch,27.175245098039216,pre_market,0.4074074074074074,False
bar_range,15m,FLAT_SMOOTH,1990,9,us_lunch,26.810049019607842,pre_market,-0.08029197080291971,False
price_velocity_w,15m,FLAT_SMOOTH,1980,9,us_pm,-26.419540229885058,eu_open,-0.9991666666666666,False
price_velocity_w,5s,DOWN_CHOPPY,603,9,us_pm,-26.368181818181817,asia_close,0.21428571428571427,False
vol_mean_w,1m,FLAT_CHOPPY,3663,7,after_close,-26.354347826086958,eu_open,-3.7666666666666666,False
body,5s,DOWN_CHOPPY,712,9,us_pre,-26.107692307692307,pre_market,0.79,False
price_sigma_w,1m,FLAT_SMOOTH,1978,9,us_lunch,25.58937823834197,us_pm,-0.47360248447204967,False
price_velocity_w,15m,UP_CHOPPY,786,7,eu_open,25.517006802721088,us_open,-0.4367816091954023,False
vol_mean_w,5m,DOWN_CHOPPY,598,4,us_lunch,-25.42929292929293,us_morning,-16.53125,False
body,1h,FLAT_SMOOTH,1979,9,us_pm,-25.24652777777778,us_pre,0.6423611111111112,False
price_velocity_1b,1h,FLAT_SMOOTH,1979,9,us_pm,-25.24652777777778,pre_market,0.7640765765765766,False
price_sigma_w,1h,FLAT_SMOOTH,1956,8,us_lunch,24.59490740740741,after_close,0.23847517730496454,False
vol_mean_w,1m,DOWN_CHOPPY,598,4,us_lunch,-24.13659793814433,us_morning,-16.428571428571427,False
vol_mean_w,1h,FLAT_CHOPPY,3663,5,us_lunch,24.033625730994153,after_close,1.4044211195928753,False
vol_velocity_w,15m,DOWN_CHOPPY,600,3,us_morning,-23.985915492957748,us_pre,-10.565972222222221,False
bar_range,15m,FLAT_CHOPPY,3692,9,pre_market,23.9502688172043,us_pre,3.3546747967479673,False
bar_range,1h,FLAT_CHOPPY,3673,9,pre_market,23.84027777777778,us_pm,1.9211711711711712,False
swing_noise_w,1h,FLAT_SMOOTH,1932,9,us_open,-23.642045454545453,after_close,-2.3078703703703702,False
swing_noise_w,5s,FLAT_CHOPPY,3686,9,pre_market,22.873062015503876,us_pm,3.8207964601769913,False
price_velocity_w,5s,FLAT_SMOOTH,1990,9,us_lunch,22.84297520661157,pre_market,0.38173652694610777,False
price_sigma_w,1h,DOWN_CHOPPY,600,5,us_lunch,-22.381944444444443,us_morning,-2.5364583333333335,False
price_velocity_1b,1h,FLAT_CHOPPY,3674,9,asia_close,22.09375,us_pre,0.2542918454935622,False
price_sigma_w,1m,FLAT_CHOPPY,3663,9,pre_market,21.82336956521739,eu_open,-1.3473451327433628,True
price_velocity_w,1h,FLAT_SMOOTH,1956,9,us_pre,-21.297619047619047,eu_open,0.9104166666666667,False
body,1h,FLAT_CHOPPY,3722,9,asia_close,20.65719696969697,us_pre,0.43190661478599224,False
price_velocity_w,15m,FLAT_CHOPPY,3663,9,asia_close,-20.5431654676259,after_close,1.6354166666666667,True
price_velocity_1b,1m,FLAT_SMOOTH,1985,9,us_lunch,20.180555555555557,eu_open,0.08333333333333333,False
vol_mean_w,5m,FLAT_SMOOTH,1977,5,us_lunch,20.12123287671233,us_pm,-4.118518518518519,True
vol_mean_w,1m,FLAT_SMOOTH,1978,6,us_lunch,19.698204419889503,us_pm,-4.7578616352201255,True
vol_velocity_w,1h,FLAT_SMOOTH,1956,5,us_lunch,19.207107843137255,us_pm,0.8215579710144928,False
body,5m,FLAT_SMOOTH,1995,9,us_lunch,18.635483870967743,pre_market,0.8426517571884984,False
vol_mean_w,15m,FLAT_SMOOTH,1972,5,us_open,-18.48921568627451,us_pm,-0.8132183908045977,False
vol_mean_w,5s,FLAT_SMOOTH,1981,6,us_lunch,18.42982456140351,us_pre,-2.7877358490566038,True
vol_mean_w,5m,FLAT_CHOPPY,3663,6,after_close,-18.413427561837455,us_open,-5.392717497556207,False
body,1m,FLAT_SMOOTH,2149,9,us_lunch,18.4025974025974,after_close,-0.46934604904632155,False
price_velocity_w,5m,FLAT_SMOOTH,1981,9,us_morning,-17.954787234042552,pre_market,-1.8620967741935484,False
vol_velocity_w,5m,FLAT_CHOPPY,3668,9,after_close,-17.244490358126722,us_pm,1.9537671232876712,True
price_velocity_1b,5m,FLAT_SMOOTH,1995,9,us_lunch,17.2248427672956,pre_market,0.8778877887788779,False
price_velocity_w,1m,FLAT_SMOOTH,1988,9,us_open,-17.223684210526315,pre_market,-1.9635761589403973,False
vol_velocity_w,1m,FLAT_SMOOTH,1979,9,us_lunch,17.07650273224044,eu_open,0.12442396313364056,False
price_velocity_1b,5s,FLAT_SMOOTH,2549,9,us_lunch,17.00347222222222,us_pm,-0.5444078947368421,False
bar_range,5s,FLAT_CHOPPY,3706,9,asia_close,-16.43923611111111,us_pm,3.029255319148936,True
price_velocity_1b,15m,FLAT_SMOOTH,2001,9,us_open,-15.857142857142858,us_pre,-2.511111111111111,False
body,15m,FLAT_SMOOTH,1979,9,us_open,-15.857142857142858,us_pre,-2.801418439716312,False
price_sigma_w,5m,FLAT_CHOPPY,3663,9,pre_market,15.827844311377245,eu_open,1.75,False
vol_velocity_w,5s,FLAT_SMOOTH,2000,9,us_lunch,14.899390243902438,eu_open,-0.1976950354609929,False
body,15m,FLAT_CHOPPY,3711,9,us_pre,14.562770562770563,eu_open,3.4348859315589353,False
price_velocity_1b,15m,FLAT_CHOPPY,3688,9,us_pre,14.237938596491228,after_close,-3.734861591695502,True
vol_velocity_w,5m,FLAT_SMOOTH,1977,9,us_lunch,13.89765100671141,us_morning,-0.09615384615384616,False
vol_mean_w,15m,FLAT_CHOPPY,3663,5,us_open,-13.862709832134293,us_morning,2.398399443284621,True
price_velocity_w,1m,FLAT_CHOPPY,3665,9,us_morning,13.788422131147541,asia_close,0.8404059040590406,False
price_sigma_w,5s,FLAT_CHOPPY,3663,9,pre_market,13.73108552631579,eu_open,1.4471744471744472,False
body,5s,FLAT_SMOOTH,2631,9,us_lunch,13.696927374301676,after_close,-0.452431289640592,False
price_velocity_w,5m,FLAT_CHOPPY,3670,9,us_morning,12.7085,eu_open,2.6247443762781186,False
body,5m,FLAT_CHOPPY,3751,9,pre_market,12.185975609756097,us_pre,0.13931297709923665,False
price_velocity_1b,5m,FLAT_CHOPPY,3756,9,pre_market,11.92639902676399,us_pre,-0.08052434456928839,False
price_velocity_1b,1m,FLAT_CHOPPY,3787,9,after_close,-11.41223908918406,eu_open,-0.7555555555555555,False
price_velocity_1b,5s,FLAT_CHOPPY,4109,9,after_close,-10.618340943683409,us_pm,-1.0841423948220066,False
vol_velocity_w,15m,FLAT_SMOOTH,1973,7,us_open,-10.094632768361581,pre_market,-0.3489010989010989,False
body,1m,FLAT_CHOPPY,3731,9,pre_market,9.9863184079602,us_pm,-0.16642011834319526,False
body,5s,FLAT_CHOPPY,4047,9,after_close,-9.907345575959933,asia_close,0.36824324324324326,False
price_velocity_w,5s,FLAT_CHOPPY,3754,9,us_morning,9.224120082815736,eu_open,-1.3363557858376511,True
vol_velocity_w,1m,FLAT_CHOPPY,3663,9,us_pre,8.913194444444445,us_morning,0.32123655913978494,False
vol_velocity_w,5s,FLAT_CHOPPY,3936,9,us_open,-5.830645161290323,after_close,-0.07980599647266313,False
